,Author_A,Author_B,count,aa,ra,jc,pa,path_len,bet_cA,bet_cB,dc_A,dc_B
54,1005,1502,1,6.773124693,0.646419757,0.568181818,1148,1,0.000155448,0.001996867,0.007434944,0.010886883
55,1005,1708,1,6.829248846,0.661635689,0.223214286,3052,1,0.000155448,0.018281972,0.007434944,0.028943176
56,1005,1833,1,6.735479525,0.632348463,0.862068966,728,1,0.000155448,0,0.007434944,0.006903877
57,1005,2012,1,1.421248699,0.271488834,0.114285714,308,1,0.000155448,3.74E-05,0.007434944,0.002920871
58,1005,2022,1,6.742305573,0.635095715,0.806451613,784,1,0.000155448,0.000159858,0.007434944,0.007434944
59,1005,2215,1,6.767499624,0.644494212,0.609756098,1064,1,0.000155448,0.001102788,0.007434944,0.010090281
60,1005,2239,1,6.738994126,0.633772964,0.833333333,756,1,0.000155448,0.00010778,0.007434944,0.007169411
61,1005,2294,1,6.751200525,0.638551936,0.735294118,868,1,0.000155448,0.000904736,0.007434944,0.008231545
62,1005,2666,1,6.778149831,0.648082728,0.531914894,1232,1,0.000155448,0.001389093,0.007434944,0.011683484
63,1005,2681,1,6.807029746,0.656524287,0.342465753,1960,1,0.000155448,0.015801083,0.007434944,0.018587361
64,1005,2706,11,7.827689658,0.942488323,0.509433962,1456,1,0.000155448,0.005656157,0.007434944,0.013807754
65,1005,2743,1,6.776534616,0.647554187,0.543478261,1204,1,0.000155448,0.002076268,0.007434944,0.01141795
66,1005,2749,2,1.216946156,0.162397925,0.137931034,140,1,0.000155448,0,0.007434944,0.001327669
67,1005,2785,1,6.751200525,0.638551936,0.735294118,868,1,0.000155448,0.00216734,0.007434944,0.008231545
68,1005,2839,1,6.790536553,0.651942076,0.446428571,1484,1,0.000155448,0.006381653,0.007434944,0.014073287
69,1005,3064,9,7.789567851,0.929461027,0.84375,868,1,0.000155448,0.000422783,0.007434944,0.008231545
70,1005,3148,1,6.82797318,0.661376039,0.229357798,2968,1,0.000155448,0.008431698,0.007434944,0.028146575
71,1005,3624,1,6.735479525,0.632348463,0.862068966,728,1,0.000155448,0,0.007434944,0.006903877
72,1005,3955,1,6.810068708,0.657296487,0.324675325,2072,1,0.000155448,0.010467992,0.007434944,0.019649495
73,1005,3961,1,6.790536553,0.651942076,0.446428571,1484,1,0.000155448,0.005456871,0.007434944,0.014073287
74,1005,4046,1,6.735479525,0.632348463,0.862068966,728,1,0.000155448,0,0.007434944,0.006903877
75,1006,1325,3,1.497099137,0.298235736,0.153846154,209,1,0.000600555,0.001702335,0.002920871,0.005045141
76,1006,1726,1,1.197835527,0.255012531,0.115384615,198,1,0.000600555,0.00133756,0.002920871,0.004779607
77,1006,2112,1,0.918784387,0.229166667,0.142857143,55,1,0.000600555,0.000309512,0.002920871,0.001327669
78,1006,2622,4,1.802647325,0.44871001,0.173913043,176,1,0.000600555,0.001581875,0.002920871,0.00424854
79,1006,3351,1,0.861893242,0.098480834,0.083333333,308,1,0.000600555,0.002321097,0.002920871,0.007434944
80,1006,3441,2,1.047045041,0.188513514,0.048387097,594,1,0.000600555,0.011017358,0.002920871,0.014338821
81,1006,3713,1,0.660775389,0.098214286,0.046511628,374,1,0.000600555,0.0059228,0.002920871,0.009028147
82,1006,3955,2,0.890415299,0.106864383,0.036585366,814,1,0.000600555,0.010467992,0.002920871,0.019649495
83,1006,4013,4,1.667608223,0.370687135,0.307692308,66,1,0.000600555,6.91E-05,0.002920871,0.001593202
84,1007,1192,1,0.352956124,0.058823529,0.125,20,1,7.56E-05,1.74E-06,0.001327669,0.001062135
85,1007,1865,1,1.154478563,0.35,0.2,35,1,7.56E-05,0.000791867,0.001327669,0.001858736
86,1007,3577,1,1.424137569,0.476190476,0.031746032,300,1,7.56E-05,0.016841982,0.001327669,0.015932023
87,1008,1348,1,0.480898347,0.125,0.052631579,51,1,0.000475492,0.001228475,0.000796601,0.004514073
88,1008,1430,1,0,0,0,3,1,0.000475492,0,0.000796601,0.000265534
89,1008,3844,1,0.352956124,0.058823529,0.1,24,1,0.000475492,0.000615115,0.000796601,0.00212427
90,1009,1517,1,1.442695041,0.5,0.022727273,86,1,0,0.006145125,0.000531067,0.01141795
91,1009,3664,1,0.265872586,0.023255814,0.333333333,4,1,0,0,0.000531067,0.000531067
92,101,2015,2,0,0,0,156,1,4.08E-05,0.002609384,0.001062135,0.010355815
93,101,2106,1,0.339623272,0.052631579,0.055555556,60,1,4.08E-05,0.001125562,0.001062135,0.003983006
94,101,686,5,0,0,0,164,1,4.08E-05,0.003768275,0.001062135,0.010886883
95,101,757,1,0.369269373,0.066666667,0.045454545,76,1,4.08E-05,0.000351966,0.001062135,0.005045141
96,1010,3482,5,4.787856308,1.496428571,0.28,192,1,7.96E-05,0.00756924,0.00212427,0.006372809
97,1010,3493,2,2.178662784,0.641666667,0.444444444,40,1,7.96E-05,0,0.00212427,0.001327669
98,1010,3567,1,0.31465798,0.041666667,0.047619048,112,1,7.96E-05,0.001207589,0.00212427,0.003717472
99,1010,3729,1,0.31465798,0.041666667,0.111111111,16,1,7.96E-05,0,0.00212427,0.000531067
100,1010,4089,1,2.178662784,0.641666667,0.444444444,40,1,7.96E-05,0,0.00212427,0.001327669
101,1012,1670,3,2.37858908,0.833333333,0.428571429,24,1,7.75E-05,0.001054073,0.001062135,0.001593202
102,1012,2523,1,1.468349853,0.5,0.4,12,1,7.75E-05,0,0.001062135,0.000796601
103,1012,3541,1,0.558110627,0.166666667,0.111111111,24,1,7.75E-05,0.001994554,0.001062135,0.001593202
104,1012,3606,1,1.468349853,0.5,0.4,12,1,7.75E-05,0,0.001062135,0.000796601
105,1013,1056,2,0.352956124,0.058823529,0.033333333,58,1,0,0.006709619,0.000531067,0.007700478
106,1013,3436,1,0.296974204,0.034482759,0.055555556,34,1,0,0.002864473,0.000531067,0.004514073
107,1014,1274,1,1.946244728,0.625,0.272727273,45,1,0.000413034,1.12E-05,0.002389804,0.001327669
108,1014,1318,10,2.974269202,1.033333333,0.1,216,1,0.000413034,0.00216086,0.002389804,0.006372809
109,1014,2090,2,1.201355478,0.275362319,0.3,36,1,0.000413034,8.82E-05,0.002389804,0.001062135
110,1014,2585,1,0.580020544,0.075362319,0.1,117,1,0.000413034,0.000179237,0.002389804,0.003451938
111,1014,3639,1,0.935992915,0.241666667,0.2,27,1,0.000413034,0,0.002389804,0.000796601
112,1014,3940,2,0.31465798,0.041666667,0.1,18,1,0.000413034,0,0.002389804,0.000531067
113,1014,4009,2,0.580020544,0.075362319,0.2,27,1,0.000413034,0,0.002389804,0.000796601
114,1015,1640,1,1.468349853,0.5,0.285714286,18,1,0,4.23E-07,0.000796601,0.001593202
115,1015,2644,2,1.468349853,0.5,0.285714286,18,1,0,4.23E-07,0.000796601,0.001593202
116,1017,1542,1,1.442695041,0.5,0.333333333,4,1,0,0,0.000531067,0.000531067
117,1017,3859,1,1.442695041,0.5,0.333333333,4,1,0,0,0.000531067,0.000531067
118,1018,1116,1,2.401421712,0.499296537,0.214285714,280,1,0.001139679,0.000476625,0.005310674,0.003717472
119,1018,1208,2,1.310464995,0.207266998,0.041666667,1600,1,0.001139679,0.021775012,0.005310674,0.021242698
120,1018,1372,1,1.532164492,0.311405836,0.19047619,100,1,0.001139679,0,0.005310674,0.001327669
121,1018,1450,2,3.028479271,0.751199454,0.166666667,580,1,0.001139679,0.002967006,0.005310674,0.007700478
122,1018,1597,1,2.572555892,0.488219379,0.291666667,220,1,0.001139679,0.000109099,0.005310674,0.002920871
123,1018,2281,1,1.532164492,0.311405836,0.19047619,100,1,0.001139679,0,0.005310674,0.001327669
124,1018,2365,1,2.266446551,0.427867965,0.285714286,140,1,0.001139679,0,0.005310674,0.001858736
125,1018,2475,1,0.241363138,0.015873016,0.04,120,1,0.001139679,5.47E-05,0.005310674,0.001593202
126,1018,2518,1,2.463032793,0.570431532,0.045112782,2380,1,0.001139679,0.039548935,0.005310674,0.031598513
127,1018,2588,9,4.118592475,1.050840665,0.121621622,1260,1,0.001139679,0.014298127,0.005310674,0.016728625
128,1018,2860,1,1.84657175,0.472944297,0.095238095,520,1,0.001139679,0.003473702,0.005310674,0.006903877
129,1018,3044,1,0.241363138,0.015873016,0.043478261,80,1,0.001139679,2.59E-05,0.005310674,0.001062135
130,1018,3138,2,2.92639749,0.553643579,0.235294118,440,1,0.001139679,0.001397412,0.005310674,0.005841742
131,1018,3184,1,0.450606528,0.024276377,0.083333333,120,1,0.001139679,0.000694632,0.005310674,0.001593202
132,1018,3189,1,2.652438659,0.519931457,0.25,300,1,0.001139679,0.000275218,0.005310674,0.003983006
133,1018,3519,1,2.591517413,0.492316017,0.291666667,220,1,0.001139679,0.000171797,0.005310674,0.002920871
134,1018,3587,2,0,0,0,220,1,0.001139679,0.004119146,0.005310674,0.002920871
135,1018,3923,1,1.84657175,0.472944297,0.095238095,520,1,0.001139679,0.001091354,0.005310674,0.006903877
136,1019,3306,1,1.820478453,0.666666667,0.5,9,1,0,0,0.000796601,0.000796601
137,102,1802,4,0,0,0,80,1,0.000475492,0.003370324,0.000531067,0.010621349
138,102,2260,2,0,0,0,2,1,0.000475492,0,0.000531067,0.000265534
139,1020,1676,3,1.456041365,0.382575758,0.214285714,60,1,4.42E-05,0.000720076,0.001327669,0.003186405
140,1020,2084,1,0.819461996,0.174242424,0.222222222,30,1,4.42E-05,0.001006282,0.001327669,0.001593202
141,1020,2154,11,1.441438578,0.375,0.230769231,55,1,4.42E-05,0.001971764,0.001327669,0.002920871
142,1020,3111,12,1.333360338,0.317099567,0.3,40,1,4.42E-05,0.000260036,0.001327669,0.00212427
143,1020,3751,1,0.480898347,0.125,0.090909091,35,1,4.42E-05,0.000341353,0.001327669,0.001858736
144,1021,1163,1,0.838871314,0.089168774,0.090909091,288,1,0.001175963,0.000458175,0.006372809,0.003186405
145,1021,1242,1,0.498183728,0.036445013,0.024691358,1416,1,0.001175963,0.005568671,0.006372809,0.01566649
146,1021,1398,3,1.43947136,0.263205056,0.057971014,1176,1,0.001175963,0.008166904,0.006372809,0.013011152
147,1021,1715,4,0.725497815,0.048048478,0.044776119,1104,1,0.001175963,0.001545406,0.006372809,0.012214551
148,1021,1998,1,0.402429604,0.083333333,0.027777778,312,1,0.001175963,0.000565798,0.006372809,0.003451938
149,1021,2148,1,3.876638928,0.481556873,0.180555556,1464,1,0.001175963,0.006003739,0.006372809,0.016197557
150,1021,2287,1,3.544048972,0.434544519,0.333333333,576,1,0.001175963,0.000827966,0.006372809,0.006372809
151,1021,2395,1,0.389871245,0.076923077,0.028571429,288,1,0.001175963,0.000848181,0.006372809,0.003186405
152,1021,2409,1,3.548039485,0.436211185,0.324324324,600,1,0.001175963,0.001842752,0.006372809,0.006638343
153,1021,2474,2,0.741222158,0.138461538,0.058823529,288,1,0.001175963,0.00085657,0.006372809,0.003186405
154,1021,2773,1,3.634788329,0.464716933,0.121212121,2088,1,0.001175963,0.010027782,0.006372809,0.023101434
155,1021,2915,2,1.120302578,0.212745098,0.063829787,624,1,0.001175963,0.001497875,0.006372809,0.006903877
156,1021,2960,1,3.882056137,0.485260959,0.288888889,816,1,0.001175963,0.002586502,0.006372809,0.009028147
157,1021,2980,1,3.498033192,0.413711185,0.428571429,384,1,0.001175963,0.000508502,0.006372809,0.00424854
158,1021,3196,3,4.128147799,0.500193586,0.179487179,1632,1,0.001175963,0.015080325,0.006372809,0.018056293
159,1021,3389,1,3.874814771,0.483388219,0.393939394,528,1,0.001175963,0.00222263,0.006372809,0.005841742
160,1021,3661,4,1.680312713,0.276436185,0.131578947,456,1,0.001175963,0.001563725,0.006372809,0.005045141
161,1021,3728,1,3.48943758,0.409544519,0.444444444,360,1,0.001175963,9.52E-05,0.006372809,0.003983006
162,1021,4031,1,0.596572443,0.073039742,0.064516129,216,1,0.001175963,4.56E-05,0.006372809,0.002389804
163,1022,3611,1,1.442695041,0.5,0.076923077,24,1,0,0.001359555,0.000531067,0.003186405
164,1023,1201,3,1.442695041,0.5,0.111111111,16,1,0.001901218,0,0.00212427,0.000531067
165,1023,1322,1,0,0,0,8,1,0.001901218,0,0.00212427,0.000265534
166,1023,2438,3,0.593769156,0.078294574,0.117647059,88,1,0.001901218,0.000307171,0.00212427,0.002920871
167,1023,2599,2,1.442695041,0.5,0.111111111,16,1,0.001901218,0,0.00212427,0.000531067
168,1023,2861,4,1.139257888,0.216399287,0.032967033,688,1,0.001901218,0.020074647,0.00212427,0.0228359
169,1023,3576,1,0.994488298,0.161360527,0.15,120,1,0.001901218,0.000218775,0.00212427,0.003983006
170,1023,3810,1,0.593769156,0.078294574,0.086956522,136,1,0.001901218,0.000536128,0.00212427,0.004514073
171,1023,4037,5,0,0,0,8,1,0.001901218,0,0.00212427,0.000265534
172,1024,1775,1,0,0,0,1,1,0,0,0.000265534,0.000265534
173,1025,2066,1,0,0,0,57,1,0.000524209,0.003752863,0.000796601,0.005045141
174,1025,3021,2,0,0,0,9,1,0.000524209,0.000149383,0.000796601,0.000796601
175,1026,2566,3,1.820478453,0.666666667,0.285714286,18,1,0,1.27E-06,0.000796601,0.001593202
176,1026,3423,2,1.468349853,0.5,0.5,9,1,0,0,0.000796601,0.000796601
177,1027,2563,1,0,0,0,2,1,1.41E-07,0,0.000531067,0.000265534
178,1027,3992,3,0,0,0,2,1,1.41E-07,0,0.000531067,0.000265534
179,1028,1264,10,2.743515547,0.797744361,0.208333333,180,1,0.00010781,0.001218721,0.002389804,0.005310674
180,1028,1884,2,0.98763896,0.147744361,0.25,54,1,0.00010781,1.28E-06,0.002389804,0.001593202
181,1028,2185,1,0.608672084,0.075,0.2,27,1,0.00010781,0,0.002389804,0.000796601
182,1028,2747,1,1.20425333,0.366666667,0.064516129,216,1,0.00010781,0.001480718,0.002389804,0.006372809
183,1028,3252,1,0.608715778,0.076315789,0.2,27,1,0.00010781,0,0.002389804,0.000796601
184,1028,3680,1,0.608715778,0.076315789,0.166666667,45,1,0.00010781,1.17E-05,0.002389804,0.001327669
185,1029,1152,1,1.795164537,0.317832168,0.25,114,1,0.001691202,0,0.005045141,0.001593202
186,1029,1961,1,1.870386474,0.363960114,0.151515152,361,1,0.001691202,0.000494905,0.005045141,0.005045141
187,1029,2464,2,3.193748377,0.678334117,0.296296296,304,1,0.001691202,0.000945716,0.005045141,0.00424854
188,1029,2472,2,3.819907908,0.856721057,0.25,494,1,0.001691202,0.001606456,0.005045141,0.006903877
189,1029,2617,3,3.569062791,0.745641809,0.155172414,912,1,0.001691202,0.004585789,0.005045141,0.012745619
190,1029,3022,2,3.302446598,0.717404817,0.4,171,1,0.001691202,1.15E-06,0.005045141,0.002389804
191,1029,3216,3,4.654676216,0.950235827,0.6,247,1,0.001691202,9.71E-05,0.005045141,0.003451938
192,1029,3383,1,2.886796619,0.626592852,0.35,152,1,0.001691202,0,0.005045141,0.00212427
193,1029,3407,1,1.65189912,0.249925026,0.25,114,1,0.001691202,0,0.005045141,0.001593202
194,1029,3635,1,2.179555091,0.405195682,0.15,513,1,0.001691202,0.002343983,0.005045141,0.007169411
195,1029,3831,1,2.965265361,0.668259518,0.291666667,228,1,0.001691202,0.000811152,0.005045141,0.003186405
196,103,2595,1,0,0,0,24,1,0,0.000998283,0.000265534,0.006372809
197,1030,1034,1,4.07423978,0.402048823,0.202702703,1278,1,0.012355194,0.000431399,0.018852894,0.004779607
198,1030,1074,1,9.48356491,0.603314861,0.338983051,6177,1,0.012355194,0.010004326,0.018852894,0.023101434
199,1030,1076,1,8.987701982,0.567425006,0.463414634,3479,1,0.012355194,0.004009174,0.018852894,0.013011152
200,1030,1173,1,6.874881088,0.583535546,0.191489362,6887,1,0.012355194,0.011093463,0.018852894,0.025756771
201,1030,1174,1,4.365832525,0.440634681,0.181818182,2343,1,0.012355194,0.002240918,0.018852894,0.008762613
202,1030,1183,1,9.012312659,0.574319656,0.355140187,5254,1,0.012355194,0.007378048,0.018852894,0.019649495
203,1030,1190,2,13.22601539,1.024363516,0.546391753,5609,1,0.012355194,0.004642754,0.018852894,0.020977164
204,1030,1200,4,0.417032391,0.090909091,0.01369863,213,1,0.012355194,2.50E-05,0.018852894,0.000796601
205,1030,1228,1,9.237584157,0.586014987,0.397959184,4686,1,0.012355194,0.007854999,0.018852894,0.017525226
206,1030,1240,1,9.971188631,0.637433549,0.35,6461,1,0.012355194,0.014023979,0.018852894,0.024163569
207,1030,1343,1,5.687736712,0.509358183,0.201834862,4260,1,0.012355194,0.002444621,0.018852894,0.015932023
208,1030,1344,1,0.345976256,0.055555556,0.013157895,426,1,0.012355194,4.20E-05,0.018852894,0.001593202
209,1030,1461,1,1.631586747,0.583333333,0.025641026,639,1,0.012355194,0.002175083,0.018852894,0.002389804
210,1030,1477,1,4.859498408,0.479035455,0.171428571,3692,1,0.012355194,0.003898775,0.018852894,0.013807754
211,1030,1516,1,5.527326089,0.510789141,0.22826087,2982,1,0.012355194,0.002063391,0.018852894,0.011152416
212,1030,1658,1,9.90714599,0.683418,0.50617284,3621,1,0.012355194,0.004349246,0.018852894,0.01354222
213,1030,1703,1,6.031529796,0.549253585,0.172932331,6035,1,0.012355194,0.014669766,0.018852894,0.022570366
214,1030,1712,1,8.992780504,0.568965245,0.441860465,3763,1,0.012355194,0.010105356,0.018852894,0.014073287
215,1030,1715,5,9.581130128,0.643299921,0.519480519,3266,1,0.012355194,0.001545406,0.018852894,0.012214551
216,1030,1735,1,9.95419272,0.633271044,0.442105263,4686,1,0.012355194,0.003678321,0.018852894,0.017525226
217,1030,1989,1,9.231912456,0.584672502,0.393939394,4757,1,0.012355194,0.006274607,0.018852894,0.017790759
218,1030,2086,1,8.977104767,0.564023645,0.506666667,2982,1,0.012355194,0.000857755,0.018852894,0.011152416
219,1030,2148,1,9.238388343,0.586145609,0.419354839,4331,1,0.012355194,0.006003739,0.018852894,0.016197557
220,1030,2151,1,5.293606843,0.495627324,0.238095238,2343,1,0.012355194,0.001778012,0.018852894,0.008762613
221,1030,2154,3,1.36535884,0.444444444,0.025,781,1,0.012355194,0.001971764,0.018852894,0.002920871
222,1030,2180,1,8.980393783,0.565105896,0.493506494,3124,1,0.012355194,0.002438462,0.018852894,0.011683484
223,1030,2324,1,8.973566122,0.562833169,0.520547945,2840,1,0.012355194,0.00012285,0.018852894,0.010621349
224,1030,2446,1,8.992780504,0.568965245,0.441860465,3763,1,0.012355194,0.003574789,0.018852894,0.014073287
225,1030,2767,1,1.708097401,0.28926926,0.058823529,1349,1,0.012355194,0.002021763,0.018852894,0.005045141
226,1030,2783,2,0.789390405,0.068703077,0.035714286,1136,1,0.012355194,0.000940385,0.018852894,0.00424854
227,1030,2808,1,8.990316375,0.568225326,0.452380952,3621,1,0.012355194,0.005487672,0.018852894,0.01354222
228,1030,2810,1,9.240786851,0.586655775,0.481481481,3479,1,0.012355194,0.002497868,0.018852894,0.013011152
229,1030,2817,1,8.991566284,0.5686024,0.447058824,3692,1,0.012355194,0.003493095,0.018852894,0.013807754
230,1030,2868,1,9.83945666,0.661018875,0.299270073,7597,1,0.012355194,0.016823962,0.018852894,0.028412108
231,1030,2938,1,8.991566284,0.5686024,0.447058824,3692,1,0.012355194,0.002976816,0.018852894,0.013807754
232,1030,2990,1,9.296211674,0.602785322,0.325,6248,1,0.012355194,0.014182844,0.018852894,0.023366968
233,1030,2997,1,9.778612441,0.635588335,0.303703704,7455,1,0.012355194,0.01332949,0.018852894,0.027881041
234,1030,3034,1,10.56358013,0.708546493,0.323529412,7739,1,0.012355194,0.011570584,0.018852894,0.028943176
235,1030,3130,1,8.999405091,0.570884017,0.413043478,4189,1,0.012355194,0.015307078,0.018852894,0.01566649
236,1030,3148,1,9.493049512,0.605375152,0.291970803,7526,1,0.012355194,0.008431698,0.018852894,0.028146575
237,1030,3162,1,1.848553688,0.252901215,0.042857143,5325,1,0.012355194,0.014682709,0.018852894,0.019915029
238,1030,3183,2,0.455119613,0.111111111,0.013888889,142,1,0.012355194,0,0.018852894,0.000531067
239,1030,3196,3,3.177893743,0.235950616,0.103174603,4828,1,0.012355194,0.015080325,0.018852894,0.018056293
240,1030,3197,2,2.011669199,0.329434378,0.073170732,1207,1,0.012355194,0.001591839,0.018852894,0.004514073
241,1030,3214,1,9.008473816,0.573340416,0.37254902,4899,1,0.012355194,0.006788017,0.018852894,0.018321827
242,1030,3221,1,4.109548569,0.417604378,0.185185185,1775,1,0.012355194,0.001636977,0.018852894,0.006638343
243,1030,3308,1,4.98727518,0.5238476,0.214285714,2201,1,0.012355194,0.003183178,0.018852894,0.008231545
244,1030,3432,1,1.176467134,0.361111111,0.027777778,213,1,0.012355194,0,0.018852894,0.000796601
245,1030,3556,1,9.27763144,0.596425641,0.30952381,6674,1,0.012355194,0.029383211,0.018852894,0.02496017
246,1030,3571,1,1.36535884,0.444444444,0.02739726,284,1,0.012355194,0.001900276,0.018852894,0.001062135
247,1030,3619,2,13.01051689,1.014597502,0.403100775,7810,1,0.012355194,0.020371876,0.018852894,0.02920871
248,1030,3626,3,0.210751171,0.008695652,0.010989011,1491,1,0.012355194,0.001444641,0.018852894,0.005576208
249,1030,3657,12,2.954736432,0.785697533,0.066666667,639,1,0.012355194,0.000331238,0.018852894,0.002389804
250,1030,3706,1,9.305765358,0.608741174,0.414893617,4402,1,0.012355194,0.004842726,0.018852894,0.016463091
251,1030,3734,1,9.282422535,0.597448554,0.286764706,7384,1,0.012355194,0.015413128,0.018852894,0.027615507
252,1030,3783,1,0,0,0,71,1,0.012355194,0,0.018852894,0.000265534
253,1030,3785,1,9.009273697,0.573547455,0.368932039,4970,1,0.012355194,0.00780621,0.018852894,0.018587361
254,1030,3804,1,1.20016024,0.164664508,0.046511628,1349,1,0.012355194,0.000730058,0.018852894,0.005045141
255,1030,3883,1,4.067259913,0.398780849,0.205479452,1207,1,0.012355194,0.000270696,0.018852894,0.004514073
256,1031,1048,2,0.310667467,0.04,0.25,6,1,2.92E-05,0,0.000796601,0.000531067
257,1031,3564,1,0.310667467,0.04,0.016129032,180,1,2.92E-05,0.011792371,0.000796601,0.015932023
258,1031,3927,5,1.686934378,0.516666667,0.076923077,75,1,2.92E-05,0.001726073,0.000796601,0.006638343
