,Author_A,Author_B,count,aa,ra,jc,pa,path_len,dc_A,dc_B,cc_A,cc_B,hits_A,hits_B,bet_cA,bet_cB
18,1,3552,1,4.76500596,0.665772307,0.833333333,272,1,0.00424854,0.004514073,0.229441477,0.233903036,0.000122487,0.000166541,0,2.57E-05
19,1,3630,1,4.852089499,0.701340022,0.340909091,688,1,0.00424854,0.01141795,0.229441477,0.265963741,0.000122487,0.000886483,0,0.002289391
20,1,3675,1,4.799033095,0.681117576,0.625,368,1,0.00424854,0.006107276,0.229441477,0.236504809,0.000122487,0.000181129,0,0.000194748
21,1,3828,1,4.757288324,0.662095836,0.882352941,256,1,0.00424854,0.00424854,0.229441477,0.229441477,0.000122487,0.000122487,0,0
22,1,3951,1,4.86841957,0.706414018,0.267857143,880,1,0.00424854,0.014604355,0.229441477,0.283069604,0.000122487,0.001214735,0,0.010170475
23,1,750,1,4.757288324,0.662095836,0.882352941,256,1,0.00424854,0.00424854,0.229441477,0.229441477,0.000122487,0.000122487,0,0
24,10,1977,1,0.621334935,0.2,0.111111111,25,1,0.001327669,0.001327669,0.180726709,0.196909958,3.85E-06,1.59E-05,0.000479175,0.000191521
25,10,2425,1,0.455119613,0.111111111,0.1,30,1,0.001327669,0.001593202,0.180726709,0.202768327,3.85E-06,2.27E-05,0.000479175,0.000174486
26,10,2459,1,1.076454548,0.311111111,0.25,25,1,0.001327669,0.001327669,0.180726709,0.220011688,3.85E-06,0.00012583,0.000479175,0.00137341
27,10,2902,1,0,0,0,5,1,0.001327669,0.000265534,0.180726709,0.150382049,3.85E-06,7.65E-08,0.000479175,0
28,10,986,1,1.179445561,0.366666667,0.166666667,45,1,0.001327669,0.002389804,0.180726709,0.202931872,3.85E-06,2.93E-05,0.000479175,0.000481043
29,100,3232,1,0.558110627,0.166666667,0.058823529,65,1,0.001327669,0.003451938,0.21930852,0.234247839,4.37E-05,0.000173724,0.00017783,0.001962616
30,100,3313,2,0.389871245,0.076923077,0.1,30,1,0.001327669,0.001593202,0.21930852,0.230510032,4.37E-05,0.000146867,0.00017783,0.000467241
31,100,348,5,1.442695041,0.5,0.04,105,1,0.001327669,0.005576208,0.21930852,0.260569638,4.37E-05,0.000423279,0.00017783,0.00919076
32,100,400,1,0,0,0,275,1,0.001327669,0.014604355,0.21930852,0.27499958,4.37E-05,0.001443575,0.00017783,0.005756552
33,100,890,1,0.328458739,0.047619048,0.166666667,10,1,0.001327669,0.000531067,0.21930852,0.20346522,4.37E-05,9.28E-06,0.00017783,0
34,1000,2128,2,2.352934268,0.833333333,0.4,12,1,0.000796601,0.001062135,0.1589147,0.193168291,1.01E-07,2.51E-06,7.05E-08,0.000712886
35,1000,3908,1,0.72134752,0.25,0.25,6,1,0.000796601,0.000531067,0.1589147,0.158906336,1.01E-07,5.19E-08,7.05E-08,0
36,1001,2186,1,2.740171735,0.676587302,0.162162162,280,1,0.00212427,0.00929368,0.205696988,0.258384287,1.60E-05,0.000502191,1.75E-05,0.007200696
37,1001,2727,1,2.540539802,0.58015873,0.6,64,1,0.00212427,0.00212427,0.205696988,0.204111709,1.60E-05,1.59E-05,1.75E-05,1.69E-07
38,1001,2995,1,2.540539802,0.58015873,0.6,64,1,0.00212427,0.00212427,0.205696988,0.205403115,1.60E-05,1.95E-05,1.75E-05,6.56E-06
39,1001,3228,1,2.566318536,0.594047619,0.545454545,72,1,0.00212427,0.002389804,0.205696988,0.205514968,1.60E-05,2.34E-05,1.75E-05,1.27E-05
40,1001,3593,1,2.540539802,0.58015873,0.6,64,1,0.00212427,0.00212427,0.205696988,0.204111709,1.60E-05,1.59E-05,1.75E-05,1.69E-07
41,1001,3605,1,2.692979411,0.657539683,0.260869565,168,1,0.00212427,0.005576208,0.205696988,0.245146183,1.60E-05,0.000193811,1.75E-05,0.0019556
42,1001,3809,1,2.507539807,0.562301587,0.666666667,56,1,0.00212427,0.001858736,0.205696988,0.204097911,1.60E-05,1.56E-05,1.75E-05,0
43,1002,1042,2,0.621334935,0.2,0.043478261,44,1,0.000531067,0.005841742,0.197554171,0.250204723,8.82E-06,0.000420803,0,0.003637978
44,1003,1139,1,0.910239227,0.333333333,0.0125,584,1,0.00212427,0.019383962,0.238503862,0.302436181,0.000149058,0.006415675,0.001263575,0.017086758
45,1003,1429,1,0.708892645,0.119298246,0.064516129,200,1,0.00212427,0.006638343,0.238503862,0.251371276,0.000149058,0.000208824,0.001263575,0.002160778
46,1003,2310,1,0.67993684,0.106666667,0.08,152,1,0.00212427,0.005045141,0.238503862,0.24674897,0.000149058,0.000347643,0.001263575,0.000341949
47,1003,2852,1,0,0,0,152,1,0.00212427,0.005045141,0.238503862,0.225046243,0.000149058,3.97E-05,0.001263575,0.001905254
48,1003,2973,1,0.233075272,0.01369863,0.1,24,1,0.00212427,0.000796601,0.238503862,0.22938918,0.000149058,0.000130997,0.001263575,0.000107059
49,1003,3150,4,0,0,0,8,1,0.00212427,0.000265534,0.238503862,0.188348122,0.000149058,2.96E-06,0.001263575,0
50,1003,3638,7,0.650290739,0.092631579,0.095238095,120,1,0.00212427,0.003983006,0.238503862,0.253481689,0.000149058,0.000350701,0.001263575,0.003701042
51,1004,1934,7,0,0,0,18,1,0.000265534,0.004779607,0.188996582,0.23954462,2.15E-06,0.00010809,0,0.00235001
52,1005,1096,3,7.825152309,0.941719092,0.529411765,1400,1,0.007434944,0.013276686,0.259071597,0.272369905,0.001128167,0.001388751,0.000155448,0.005118615
53,1005,1183,1,6.810068708,0.657296487,0.324675325,2072,1,0.007434944,0.019649495,0.259071597,0.296700117,0.001128167,0.006456562,0.000155448,0.007378048
54,1005,1502,1,6.773124693,0.646419757,0.568181818,1148,1,0.007434944,0.010886883,0.259071597,0.270733536,0.001128167,0.001430497,0.000155448,0.001996867
55,1005,1708,1,6.829248846,0.661635689,0.223214286,3052,1,0.007434944,0.028943176,0.259071597,0.308776886,0.001128167,0.007740375,0.000155448,0.018281972
56,1005,1833,1,6.735479525,0.632348463,0.862068966,728,1,0.007434944,0.006903877,0.259071597,0.259027144,0.001128167,0.001124047,0.000155448,0
57,1005,2012,1,1.421248699,0.271488834,0.114285714,308,1,0.007434944,0.002920871,0.259071597,0.212098377,0.001128167,0.000108396,0.000155448,3.74E-05
58,1005,2022,1,6.742305573,0.635095715,0.806451613,784,1,0.007434944,0.007434944,0.259071597,0.259249561,0.001128167,0.001131098,0.000155448,0.000159858
59,1005,2215,1,6.767499624,0.644494212,0.609756098,1064,1,0.007434944,0.010090281,0.259071597,0.266527224,0.001128167,0.001491986,0.000155448,0.001102788
60,1005,2239,1,6.738994126,0.633772964,0.833333333,756,1,0.007434944,0.007169411,0.259071597,0.259093829,0.001128167,0.001126995,0.000155448,0.00010778
61,1005,2294,1,6.751200525,0.638551936,0.735294118,868,1,0.007434944,0.008231545,0.259071597,0.260907397,0.001128167,0.001135345,0.000155448,0.000904736
62,1005,2666,1,6.778149831,0.648082728,0.531914894,1232,1,0.007434944,0.011683484,0.259071597,0.273976442,0.001128167,0.001768494,0.000155448,0.001389093
63,1005,2681,1,6.807029746,0.656524287,0.342465753,1960,1,0.007434944,0.018587361,0.259071597,0.287161917,0.001128167,0.001630174,0.000155448,0.015801083
64,1005,2706,11,7.827689658,0.942488323,0.509433962,1456,1,0.007434944,0.013807754,0.259071597,0.271683649,0.001128167,0.001398491,0.000155448,0.005656157
65,1005,2743,1,6.776534616,0.647554187,0.543478261,1204,1,0.007434944,0.01141795,0.259071597,0.267495383,0.001128167,0.001522606,0.000155448,0.002076268
66,1005,2749,2,1.216946156,0.162397925,0.137931034,140,1,0.007434944,0.001327669,0.259071597,0.210018113,0.001128167,0.000102978,0.000155448,0
67,1005,2785,1,6.751200525,0.638551936,0.735294118,868,1,0.007434944,0.008231545,0.259071597,0.26072715,0.001128167,0.00113512,0.000155448,0.00216734
68,1005,2839,1,6.790536553,0.651942076,0.446428571,1484,1,0.007434944,0.014073287,0.259071597,0.284242176,0.001128167,0.002010978,0.000155448,0.006381653
69,1005,3064,9,7.789567851,0.929461027,0.84375,868,1,0.007434944,0.008231545,0.259071597,0.260524669,0.001128167,0.001157222,0.000155448,0.000422783
70,1005,3148,1,6.82797318,0.661376039,0.229357798,2968,1,0.007434944,0.028146575,0.259071597,0.313099699,0.001128167,0.010812629,0.000155448,0.008431698
71,1005,3624,1,6.735479525,0.632348463,0.862068966,728,1,0.007434944,0.006903877,0.259071597,0.259027144,0.001128167,0.001124047,0.000155448,0
72,1005,3955,1,6.810068708,0.657296487,0.324675325,2072,1,0.007434944,0.019649495,0.259071597,0.280596691,0.001128167,0.00225056,0.000155448,0.010467992
73,1005,3961,1,6.790536553,0.651942076,0.446428571,1484,1,0.007434944,0.014073287,0.259071597,0.271708099,0.001128167,0.001546553,0.000155448,0.005456871
74,1005,4046,1,6.735479525,0.632348463,0.862068966,728,1,0.007434944,0.006903877,0.259071597,0.259027144,0.001128167,0.001124047,0.000155448,0
75,1006,1325,3,1.497099137,0.298235736,0.153846154,209,1,0.002920871,0.005045141,0.236801599,0.246648182,0.000128542,0.00035119,0.000600555,0.001702335
76,1006,1726,1,1.197835527,0.255012531,0.115384615,198,1,0.002920871,0.004779607,0.236801599,0.24500693,0.000128542,0.000316106,0.000600555,0.00133756
77,1006,2112,1,0.918784387,0.229166667,0.142857143,55,1,0.002920871,0.001327669,0.236801599,0.198894624,0.000128542,9.44E-06,0.000600555,0.000309512
78,1006,2622,4,1.802647325,0.44871001,0.173913043,176,1,0.002920871,0.00424854,0.236801599,0.247456798,0.000128542,0.000316668,0.000600555,0.001581875
79,1006,3351,1,0.861893242,0.098480834,0.083333333,308,1,0.002920871,0.007434944,0.236801599,0.259071597,0.000128542,0.000966377,0.000600555,0.002321097
80,1006,3441,2,1.047045041,0.188513514,0.048387097,594,1,0.002920871,0.014338821,0.236801599,0.278963355,0.000128542,0.00107482,0.000600555,0.011017358
81,1006,3713,1,0.660775389,0.098214286,0.046511628,374,1,0.002920871,0.009028147,0.236801599,0.277068954,0.000128542,0.000984782,0.000600555,0.0059228
82,1006,3955,2,0.890415299,0.106864383,0.036585366,814,1,0.002920871,0.019649495,0.236801599,0.280596691,0.000128542,0.00225056,0.000600555,0.010467992
83,1006,4013,4,1.667608223,0.370687135,0.307692308,66,1,0.002920871,0.001593202,0.236801599,0.207349797,0.000128542,2.24E-05,0.000600555,6.91E-05
84,1007,1192,1,0.352956124,0.058823529,0.125,20,1,0.001327669,0.001062135,0.216757872,0.195204008,1.92E-05,4.41E-06,7.56E-05,1.74E-06
85,1007,1865,1,1.154478563,0.35,0.2,35,1,0.001327669,0.001858736,0.216757872,0.218277935,1.92E-05,2.21E-05,7.56E-05,0.000791867
86,1007,3577,1,1.424137569,0.476190476,0.031746032,300,1,0.001327669,0.015932023,0.216757872,0.285343577,1.92E-05,0.00090419,7.56E-05,0.016841982
87,1008,1348,1,0.480898347,0.125,0.052631579,51,1,0.000796601,0.004514073,0.204346558,0.25732723,1.17E-05,0.000491102,0.000475492,0.001228475
88,1008,1430,1,0,0,0,3,1,0.000796601,0.000265534,0.204346558,0.1663849,1.17E-05,2.34E-07,0.000475492,0
89,1008,3844,1,0.352956124,0.058823529,0.1,24,1,0.000796601,0.00212427,0.204346558,0.235968769,1.17E-05,9.98E-05,0.000475492,0.000615115
90,1009,1517,1,1.442695041,0.5,0.022727273,86,1,0.000531067,0.01141795,0.19951235,0.256670951,1.16E-05,0.000572147,0,0.006145125
91,1009,3664,1,0.265872586,0.023255814,0.333333333,4,1,0.000531067,0.000531067,0.19951235,0.19951235,1.16E-05,1.16E-05,0,0
92,101,2015,2,0,0,0,156,1,0.001062135,0.010355815,0.223530051,0.266951405,6.11E-05,0.001316384,4.08E-05,0.002609384
93,101,2106,1,0.339623272,0.052631579,0.055555556,60,1,0.001062135,0.003983006,0.223530051,0.227385178,6.11E-05,7.33E-05,4.08E-05,0.001125562
94,101,686,5,0,0,0,164,1,0.001062135,0.010886883,0.223530051,0.27770607,6.11E-05,0.001361555,4.08E-05,0.003768275
95,101,757,1,0.369269373,0.066666667,0.045454545,76,1,0.001062135,0.005045141,0.223530051,0.249728734,6.11E-05,0.000322812,4.08E-05,0.000351966
96,1010,3482,5,4.787856308,1.496428571,0.28,192,1,0.00212427,0.006372809,0.200946449,0.245864853,7.11E-06,0.000209415,7.96E-05,0.00756924
97,1010,3493,2,2.178662784,0.641666667,0.444444444,40,1,0.00212427,0.001327669,0.200946449,0.19295842,7.11E-06,4.58E-06,7.96E-05,0
98,1010,3567,1,0.31465798,0.041666667,0.047619048,112,1,0.00212427,0.003717472,0.200946449,0.234211496,7.11E-06,9.34E-05,7.96E-05,0.001207589
99,1010,3729,1,0.31465798,0.041666667,0.111111111,16,1,0.00212427,0.000531067,0.200946449,0.192921431,7.11E-06,4.30E-06,7.96E-05,0
100,1010,4089,1,2.178662784,0.641666667,0.444444444,40,1,0.00212427,0.001327669,0.200946449,0.19295842,7.11E-06,4.58E-06,7.96E-05,0
101,1012,1670,3,2.37858908,0.833333333,0.428571429,24,1,0.001062135,0.001593202,0.154570235,0.172507164,1.25E-07,5.76E-07,7.75E-05,0.001054073
102,1012,2523,1,1.468349853,0.5,0.4,12,1,0.001062135,0.000796601,0.154570235,0.144661032,1.25E-07,1.42E-08,7.75E-05,0
103,1012,3541,1,0.558110627,0.166666667,0.111111111,24,1,0.001062135,0.001593202,0.154570235,0.181694674,1.25E-07,5.67E-06,7.75E-05,0.001994554
104,1012,3606,1,1.468349853,0.5,0.4,12,1,0.001062135,0.000796601,0.154570235,0.144661032,1.25E-07,1.42E-08,7.75E-05,0
105,1013,1056,2,0.352956124,0.058823529,0.033333333,58,1,0.000531067,0.007700478,0.199078227,0.247456798,7.77E-06,0.00021618,0,0.006709619
106,1013,3436,1,0.296974204,0.034482759,0.055555556,34,1,0.000531067,0.004514073,0.199078227,0.24274163,7.77E-06,0.000174857,0,0.002864473
107,1014,1274,1,1.946244728,0.625,0.272727273,45,1,0.002389804,0.001327669,0.236393704,0.20200859,0.000241288,1.61E-05,0.000413034,1.12E-05
108,1014,1318,10,2.974269202,1.033333333,0.1,216,1,0.002389804,0.006372809,0.236393704,0.24970808,0.000241288,0.000323705,0.000413034,0.00216086
109,1014,2090,2,1.201355478,0.275362319,0.3,36,1,0.002389804,0.001062135,0.236393704,0.233613463,0.000241288,0.000223369,0.000413034,8.82E-05
110,1014,2585,1,0.580020544,0.075362319,0.1,117,1,0.002389804,0.003451938,0.236393704,0.245485031,0.000241288,0.000349941,0.000413034,0.000179237
111,1014,3639,1,0.935992915,0.241666667,0.2,27,1,0.002389804,0.000796601,0.236393704,0.200799441,0.000241288,1.16E-05,0.000413034,0
112,1014,3940,2,0.31465798,0.041666667,0.1,18,1,0.002389804,0.000531067,0.236393704,0.200786087,0.000241288,1.12E-05,0.000413034,0
113,1014,4009,2,0.580020544,0.075362319,0.2,27,1,0.002389804,0.000796601,0.236393704,0.233559248,0.000241288,0.000223048,0.000413034,0
114,1015,1640,1,1.468349853,0.5,0.285714286,18,1,0.000796601,0.001593202,0.001062135,0.001593202,2.56E-49,4.50E-49,0,4.23E-07
115,1015,2644,2,1.468349853,0.5,0.285714286,18,1,0.000796601,0.001593202,0.001062135,0.001593202,2.56E-49,4.50E-49,0,4.23E-07
116,1017,1542,1,1.442695041,0.5,0.333333333,4,1,0.000531067,0.000531067,0.000531067,0.000531067,9.83E-65,9.83E-65,0,0
117,1017,3859,1,1.442695041,0.5,0.333333333,4,1,0.000531067,0.000531067,0.000531067,0.000531067,9.83E-65,9.83E-65,0,0
118,1018,1116,1,2.401421712,0.499296537,0.214285714,280,1,0.005310674,0.003717472,0.251706577,0.218356866,0.000344926,4.07E-05,0.001139679,0.000476625
119,1018,1208,2,1.310464995,0.207266998,0.041666667,1600,1,0.005310674,0.021242698,0.251706577,0.303347774,0.000344926,0.006362182,0.001139679,0.021775012
120,1018,1372,1,1.532164492,0.311405836,0.19047619,100,1,0.005310674,0.001327669,0.251706577,0.217994252,0.000344926,3.20E-05,0.001139679,0
121,1018,1450,2,3.028479271,0.751199454,0.166666667,580,1,0.005310674,0.007700478,0.251706577,0.264264367,0.000344926,0.000667406,0.001139679,0.002967006
122,1018,1597,1,2.572555892,0.488219379,0.291666667,220,1,0.005310674,0.002920871,0.251706577,0.236245727,0.000344926,0.000177181,0.001139679,0.000109099
123,1018,2281,1,1.532164492,0.311405836,0.19047619,100,1,0.005310674,0.001327669,0.251706577,0.217994252,0.000344926,3.20E-05,0.001139679,0
124,1018,2365,1,2.266446551,0.427867965,0.285714286,140,1,0.005310674,0.001858736,0.251706577,0.208509696,0.000344926,2.89E-05,0.001139679,0
125,1018,2475,1,0.241363138,0.015873016,0.04,120,1,0.005310674,0.001593202,0.251706577,0.227693846,0.000344926,5.20E-05,0.001139679,5.47E-05
126,1018,2518,1,2.463032793,0.570431532,0.045112782,2380,1,0.005310674,0.031598513,0.251706577,0.311035376,0.000344926,0.006905855,0.001139679,0.039548935
127,1018,2588,9,4.118592475,1.050840665,0.121621622,1260,1,0.005310674,0.016728625,0.251706577,0.284724669,0.000344926,0.000949982,0.001139679,0.014298127
128,1018,2860,1,1.84657175,0.472944297,0.095238095,520,1,0.005310674,0.006903877,0.251706577,0.247112489,0.000344926,0.000201441,0.001139679,0.003473702
129,1018,3044,1,0.241363138,0.015873016,0.043478261,80,1,0.005310674,0.001062135,0.251706577,0.225281331,0.000344926,4.11E-05,0.001139679,2.59E-05
130,1018,3138,2,2.92639749,0.553643579,0.235294118,440,1,0.005310674,0.005841742,0.251706577,0.256976797,0.000344926,0.000355987,0.001139679,0.001397412
131,1018,3184,1,0.450606528,0.024276377,0.083333333,120,1,0.005310674,0.001593202,0.251706577,0.238692418,0.000344926,0.000169096,0.001139679,0.000694632
132,1018,3189,1,2.652438659,0.519931457,0.25,300,1,0.005310674,0.003983006,0.251706577,0.239982545,0.000344926,0.000149779,0.001139679,0.000275218
133,1018,3519,1,2.591517413,0.492316017,0.291666667,220,1,0.005310674,0.002920871,0.251706577,0.238390872,0.000344926,0.000163023,0.001139679,0.000171797
134,1018,3587,2,0,0,0,220,1,0.005310674,0.002920871,0.251706577,0.244036566,0.000344926,0.00026327,0.001139679,0.004119146
135,1018,3923,1,1.84657175,0.472944297,0.095238095,520,1,0.005310674,0.006903877,0.251706577,0.251559773,0.000344926,0.000365615,0.001139679,0.001091354
136,1019,3306,1,1.820478453,0.666666667,0.5,9,1,0.000796601,0.000796601,0.000796601,0.000796601,5.50E-57,5.50E-57,0,0
137,102,1802,4,0,0,0,80,1,0.000531067,0.010621349,0.20659781,0.268494477,1.90E-05,0.000953132,0.000475492,0.003370324
138,102,2260,2,0,0,0,2,1,0.000531067,0.000265534,0.20659781,0.167874362,1.90E-05,3.77E-07,0.000475492,0
139,1020,1676,3,1.456041365,0.382575758,0.214285714,60,1,0.001327669,0.003186405,0.200054359,0.22786569,8.42E-06,7.59E-05,4.42E-05,0.000720076
140,1020,2084,1,0.819461996,0.174242424,0.222222222,30,1,0.001327669,0.001593202,0.200054359,0.203287126,8.42E-06,7.96E-06,4.42E-05,0.001006282
141,1020,2154,11,1.441438578,0.375,0.230769231,55,1,0.001327669,0.002920871,0.200054359,0.232480203,8.42E-06,0.000141889,4.42E-05,0.001971764
142,1020,3111,12,1.333360338,0.317099567,0.3,40,1,0.001327669,0.00212427,0.200054359,0.231145337,8.42E-06,0.000148386,4.42E-05,0.000260036
143,1020,3751,1,0.480898347,0.125,0.090909091,35,1,0.001327669,0.001858736,0.200054359,0.221155903,8.42E-06,4.95E-05,4.42E-05,0.000341353
144,1021,1163,1,0.838871314,0.089168774,0.090909091,288,1,0.006372809,0.003186405,0.260098242,0.246005084,0.000760084,0.000315564,0.001175963,0.000458175
145,1021,1242,1,0.498183728,0.036445013,0.024691358,1416,1,0.006372809,0.01566649,0.260098242,0.273430574,0.000760084,0.001195898,0.001175963,0.005568671
146,1021,1398,3,1.43947136,0.263205056,0.057971014,1176,1,0.006372809,0.013011152,0.260098242,0.277731616,0.000760084,0.001495766,0.001175963,0.008166904
147,1021,1715,4,0.725497815,0.048048478,0.044776119,1104,1,0.006372809,0.012214551,0.260098242,0.289669039,0.000760084,0.005725719,0.001175963,0.001545406
148,1021,1998,1,0.402429604,0.083333333,0.027777778,312,1,0.006372809,0.003451938,0.260098242,0.237921229,0.000760084,0.000317404,0.001175963,0.000565798
149,1021,2148,1,3.876638928,0.481556873,0.180555556,1464,1,0.006372809,0.016197557,0.260098242,0.296321562,0.000760084,0.006087982,0.001175963,0.006003739
150,1021,2287,1,3.544048972,0.434544519,0.333333333,576,1,0.006372809,0.006372809,0.260098242,0.264843894,0.000760084,0.000788394,0.001175963,0.000827966
151,1021,2395,1,0.389871245,0.076923077,0.028571429,288,1,0.006372809,0.003186405,0.260098242,0.237771334,0.000760084,0.000188851,0.001175963,0.000848181
152,1021,2409,1,3.548039485,0.436211185,0.324324324,600,1,0.006372809,0.006638343,0.260098242,0.258960493,0.000760084,0.000949836,0.001175963,0.001842752
153,1021,2474,2,0.741222158,0.138461538,0.058823529,288,1,0.006372809,0.003186405,0.260098242,0.220027721,0.000760084,3.45E-05,0.001175963,0.00085657
154,1021,2773,1,3.634788329,0.464716933,0.121212121,2088,1,0.006372809,0.023101434,0.260098242,0.304295545,0.000760084,0.007268161,0.001175963,0.010027782
155,1021,2915,2,1.120302578,0.212745098,0.063829787,624,1,0.006372809,0.006903877,0.260098242,0.251727563,0.000760084,0.000297152,0.001175963,0.001497875
156,1021,2960,1,3.882056137,0.485260959,0.288888889,816,1,0.006372809,0.009028147,0.260098242,0.267211292,0.000760084,0.000818196,0.001175963,0.002586502
157,1021,2980,1,3.498033192,0.413711185,0.428571429,384,1,0.006372809,0.00424854,0.260098242,0.255066351,0.000760084,0.00069592,0.001175963,0.000508502
158,1021,3196,3,4.128147799,0.500193586,0.179487179,1632,1,0.006372809,0.018056293,0.260098242,0.2921355,0.000760084,0.00373538,0.001175963,0.015080325
159,1021,3389,1,3.874814771,0.483388219,0.393939394,528,1,0.006372809,0.005841742,0.260098242,0.259561588,0.000760084,0.000607068,0.001175963,0.00222263
160,1021,3661,4,1.680312713,0.276436185,0.131578947,456,1,0.006372809,0.005045141,0.260098242,0.253481689,0.000760084,0.000508877,0.001175963,0.001563725
161,1021,3728,1,3.48943758,0.409544519,0.444444444,360,1,0.006372809,0.003983006,0.260098242,0.253972106,0.000760084,0.000563744,0.001175963,9.52E-05
162,1021,4031,1,0.596572443,0.073039742,0.064516129,216,1,0.006372809,0.002389804,0.260098242,0.226260521,0.000760084,0.000103602,0.001175963,4.56E-05
163,1022,3611,1,1.442695041,0.5,0.076923077,24,1,0.000531067,0.003186405,0.184053913,0.23164189,2.23E-06,0.000110152,0,0.001359555
164,1023,1201,3,1.442695041,0.5,0.111111111,16,1,0.00212427,0.000531067,0.225483226,0.180144415,7.75E-05,1.57E-06,0.001901218,0
165,1023,1322,1,0,0,0,8,1,0.00212427,0.000265534,0.225483226,0.180133667,7.75E-05,1.54E-06,0.001901218,0
166,1023,2438,3,0.593769156,0.078294574,0.117647059,88,1,0.00212427,0.002920871,0.225483226,0.247254147,7.75E-05,0.00023624,0.001901218,0.000307171
167,1023,2599,2,1.442695041,0.5,0.111111111,16,1,0.00212427,0.000531067,0.225483226,0.180144415,7.75E-05,1.57E-06,0.001901218,0
168,1023,2861,4,1.139257888,0.216399287,0.032967033,688,1,0.00212427,0.0228359,0.225483226,0.29902153,7.75E-05,0.002745799,0.001901218,0.020074647
169,1023,3576,1,0.994488298,0.161360527,0.15,120,1,0.00212427,0.003983006,0.225483226,0.248987332,7.75E-05,0.000355074,0.001901218,0.000218775
170,1023,3810,1,0.593769156,0.078294574,0.086956522,136,1,0.00212427,0.004514073,0.225483226,0.25388668,7.75E-05,0.000555262,0.001901218,0.000536128
171,1023,4037,5,0,0,0,8,1,0.00212427,0.000265534,0.225483226,0.180133667,7.75E-05,1.54E-06,0.001901218,0
172,1024,1775,1,0,0,0,1,1,0.000265534,0.000265534,0.000265534,0.000265534,5.59E-78,5.59E-78,0,0
173,1025,2066,1,0,0,0,57,1,0.000796601,0.005045141,0.201267942,0.256322302,8.08E-06,0.000404216,0.000524209,0.003752863
174,1025,3021,2,0,0,0,9,1,0.000796601,0.000796601,0.201267942,0.193465359,8.08E-06,2.23E-06,0.000524209,0.000149383
175,1026,2566,3,1.820478453,0.666666667,0.285714286,18,1,0.000796601,0.001593202,0.001062135,0.001593202,2.57E-53,4.23E-53,0,1.27E-06
176,1026,3423,2,1.468349853,0.5,0.5,9,1,0.000796601,0.000796601,0.001062135,0.001062135,2.57E-53,2.57E-53,0,0
177,1027,2563,1,0,0,0,2,1,0.000531067,0.000265534,0.000531067,0.000354045,2.34E-71,2.34E-71,1.41E-07,0
