,Author_A,Author_B,sh_path
320,1051,2617,1
321,1051,2681,1
322,1051,2691,1
323,1051,2765,1
324,1051,2861,1
325,1051,3162,1
326,1051,3373,1
327,1051,3420,1
328,1051,3695,1
329,1051,4066,1
330,1052,2721,1
331,1052,2775,1
332,1054,1579,1
333,1054,1949,1
334,1054,3611,1
335,1054,3625,1
336,1055,2997,1
337,1056,1064,1
338,1056,1102,1
339,1056,1677,1
340,1056,1732,1
341,1056,1793,1
342,1056,2212,1
343,1056,2483,1
344,1056,2518,1
345,1056,2883,1
346,1056,3112,1
347,1056,3202,1
348,1056,3436,1
349,1056,3563,1
350,1056,3691,1
351,1056,3743,1
352,1056,3764,1
353,1056,3776,1
354,1058,2689,1
355,1058,3457,1
356,1058,3954,1
357,106,1077,1
358,106,1141,1
359,106,2146,1
360,106,2587,1
361,106,3062,1
362,1062,3218,1
363,1062,3577,1
364,1063,1758,1
365,1064,1102,1
366,1064,1677,1
367,1064,2483,1
368,1064,2518,1
369,1064,3202,1
370,1064,3669,1
371,1065,1447,1
372,1065,2439,1
373,1065,2559,1
374,1065,2670,1
375,1065,2859,1
376,1065,3531,1
377,1066,1289,1
378,1066,1766,1
379,1066,2698,1
380,1066,3149,1
381,1067,2398,1
382,1068,1172,1
383,1068,1473,1
384,1068,1565,1
385,1068,2215,1
386,1068,2743,1
387,1068,3734,1
388,1068,4055,1
389,107,1198,1
390,107,1616,1
391,107,1637,1
392,107,187,1
393,107,290,1
394,107,3162,1
395,107,3212,1
396,107,3616,1
397,107,3993,1
398,107,451,1
399,107,595,1
400,107,669,1
401,107,897,1
402,107,945,1
403,107,962,1
404,1070,1115,1
405,1070,2737,1
406,1071,2036,1
407,1071,2171,1
408,1071,2402,1
409,1071,3005,1
410,1071,3130,1
411,1071,3147,1
412,1071,3863,1
413,1072,2144,1
414,1072,2151,1
415,1072,2528,1
416,1072,3900,1
417,1073,1169,1
418,1073,1633,1
419,1073,1703,1
420,1073,1989,1
421,1073,2298,1
422,1073,2553,1
423,1073,2716,1
424,1073,2773,1
425,1073,2873,1
426,1073,2914,1
427,1073,2982,1
428,1073,3165,1
429,1073,3450,1
430,1073,3554,1
431,1073,3570,1
432,1073,3619,1
433,1073,3626,1
434,1073,3837,1
435,1073,3845,1
436,1073,3892,1
437,1073,3920,1
438,1073,3953,1
439,1073,3961,1
440,1073,4068,1
441,1074,1076,1
442,1074,1139,1
443,1074,1173,1
444,1074,1178,1
445,1074,1183,1
446,1074,1190,1
447,1074,1208,1
448,1074,1228,1
449,1074,1239,1
450,1074,1240,1
451,1074,1310,1
452,1074,1343,1
453,1074,1451,1
454,1074,1658,1
455,1074,1686,1
456,1074,1708,1
457,1074,1712,1
458,1074,1715,1
459,1074,1735,1
460,1074,1812,1
461,1074,1972,1
462,1074,1989,1
463,1074,2086,1
464,1074,2148,1
465,1074,2180,1
466,1074,2220,1
467,1074,2229,1
468,1074,2270,1
469,1074,2324,1
470,1074,2397,1
471,1074,2398,1
472,1074,2446,1
473,1074,2457,1
474,1074,2481,1
475,1074,2518,1
476,1074,2526,1
477,1074,2561,1
478,1074,2575,1
479,1074,2593,1
480,1074,2773,1
481,1074,2808,1
482,1074,2810,1
483,1074,2817,1
484,1074,2868,1
485,1074,2914,1
486,1074,2938,1
487,1074,2990,1
488,1074,2997,1
489,1074,3034,1
490,1074,3102,1
491,1074,3130,1
492,1074,3148,1
493,1074,3214,1
494,1074,3245,1
495,1074,3293,1
496,1074,3454,1
497,1074,3556,1
498,1074,3587,1
499,1074,3619,1
500,1074,3677,1
501,1074,3706,1
502,1074,3712,1
503,1074,3734,1
504,1074,3785,1
505,1074,3789,1
506,1074,3935,1
507,1075,1208,1
508,1075,1219,1
509,1075,1280,1
510,1075,1838,1
511,1075,2020,1
512,1075,2040,1
513,1075,2306,1
514,1075,2307,1
515,1075,2915,1
516,1075,2960,1
517,1075,3286,1
518,1075,3445,1
519,1075,3577,1
520,1075,3613,1
521,1075,3753,1
522,1075,3975,1
523,1076,1183,1
524,1076,1190,1
525,1076,1228,1
526,1076,1240,1
527,1076,1411,1
528,1076,1580,1
529,1076,1583,1
530,1076,1658,1
531,1076,1712,1
532,1076,1715,1
533,1076,1735,1
534,1076,1970,1
535,1076,1989,1
536,1076,2086,1
537,1076,2148,1
538,1076,2180,1
539,1076,2324,1
540,1076,2409,1
541,1076,2446,1
542,1076,2560,1
543,1076,2646,1
544,1076,2808,1
545,1076,2810,1
546,1076,2817,1
547,1076,2868,1
548,1076,2938,1
549,1076,2990,1
550,1076,2997,1
551,1076,3034,1
552,1076,3130,1
553,1076,3148,1
554,1076,3214,1
555,1076,3327,1
556,1076,3556,1
557,1076,3619,1
558,1076,3706,1
559,1076,3734,1
560,1076,3785,1
561,1076,3845,1
562,1077,1141,1
563,1077,1546,1
564,1077,1673,1
565,1077,2587,1
566,1077,3266,1
567,1078,1264,1
568,1079,1339,1
569,108,2869,1
570,1080,1365,1
571,1080,1517,1
572,1081,3741,1
573,1082,2337,1
574,1083,3862,1
575,1084,1384,1
576,1084,2091,1
577,1084,2214,1
578,1084,2235,1
579,1084,2797,1
580,1084,3196,1
581,1084,3951,1
582,1087,1650,1
583,1087,2533,1
584,1087,2860,1
585,1087,3034,1
586,1087,3706,1
587,1089,1132,1
588,1089,1259,1
589,1089,1654,1
590,1089,1685,1
591,1089,2270,1
592,1089,2302,1
593,1089,2454,1
594,1089,2481,1
595,1089,2590,1
596,1089,2792,1
597,1089,2808,1
598,1089,2833,1
599,1089,2953,1
600,1089,3131,1
601,1089,3437,1
602,1089,3578,1
603,1089,3730,1
604,109,3613,1
605,109,760,1
606,1090,1180,1
607,1090,1583,1
608,1090,1618,1
609,1090,1622,1
610,1090,1754,1
611,1090,2025,1
612,1090,2670,1
613,1090,2747,1
614,1090,2914,1
615,1090,3024,1
616,1090,3059,1
617,1090,3720,1
618,1090,3932,1
619,1090,3975,1
620,1091,2210,1
621,1092,1949,1
622,1092,3333,1
623,1092,3556,1
624,1093,2867,1
625,1094,1470,1
626,1096,1183,1
627,1096,1502,1
628,1096,1708,1
629,1096,1823,1
630,1096,1833,1
631,1096,2012,1
632,1096,2022,1
633,1096,2215,1
634,1096,2239,1
635,1096,2294,1
636,1096,2498,1
637,1096,2666,1
638,1096,2681,1
639,1096,2706,1
640,1096,2743,1
641,1096,2749,1
642,1096,2785,1
643,1096,2788,1
644,1096,2839,1
645,1096,2873,1
646,1096,3064,1
647,1096,3148,1
648,1096,3489,1
649,1096,3516,1
650,1096,3565,1
651,1096,3624,1
652,1096,3766,1
653,1096,3955,1
654,1096,3961,1
655,1096,4046,1
656,1096,4080,1
657,1097,1422,1
658,1097,2369,1
659,1097,3570,1
660,1097,3598,1
661,1097,3816,1
662,1098,1247,1
663,1099,1365,1
664,1099,1517,1
665,1099,1581,1
666,1099,2407,1
667,1099,3568,1
668,1099,3591,1
669,11,1042,1
670,11,1073,1
671,11,1169,1
672,11,1318,1
673,11,1830,1
674,11,1896,1
675,11,192,1
676,11,2409,1
677,11,2468,1
678,11,2560,1
679,11,2716,1
680,11,2990,1
681,11,3554,1
682,11,3570,1
683,11,3626,1
684,11,3845,1
685,11,3953,1
686,11,3961,1
687,11,4068,1
688,11,747,1
689,11,990,1
690,110,2345,1
691,110,2930,1
692,110,3027,1
693,110,3327,1
694,110,3528,1
695,110,3864,1
696,1100,2884,1
697,1100,3244,1
698,1100,3865,1
699,1102,1208,1
700,1102,1588,1
701,1102,1677,1
702,1102,1700,1
703,1102,1793,1
704,1102,1905,1
705,1102,2518,1
706,1102,2864,1
707,1102,2880,1
708,1102,3202,1
709,1102,3226,1
710,1102,3321,1
711,1102,3443,1
712,1102,3669,1
713,1102,3793,1
714,1104,1656,1
715,1104,2518,1
716,1106,2502,1
717,1106,3819,1
718,1107,1477,1
719,1107,2210,1
720,1107,3375,1
721,1107,3602,1
722,1107,3694,1
723,1107,4018,1
724,1109,2108,1
725,1109,3165,1
726,1110,2352,1
727,1110,2709,1
728,1110,3743,1
729,1111,1145,1
730,1111,1618,1
731,1111,1636,1
732,1111,2754,1
733,1111,2873,1
734,1111,3169,1
735,1112,1861,1
736,1113,1239,1
737,1113,1363,1
738,1113,2773,1
739,1113,3196,1
740,1113,3538,1
741,1115,2737,1
742,1116,1655,1
743,1116,2155,1
744,1116,2531,1
745,1116,2568,1
746,1116,3598,1
747,1116,3649,1
748,1117,1327,1
749,1117,3564,1
750,1117,3567,1
751,1117,3805,1
752,1118,1799,1
753,1118,2450,1
754,1118,3735,1
755,1118,3867,1
756,1119,2757,1
757,112,3147,1
758,112,3982,1
759,112,4084,1
760,1120,2535,1
761,1121,1632,1
762,1121,2114,1
763,1121,2258,1
764,1121,2336,1
765,1121,2578,1
766,1121,3426,1
767,1121,3532,1
768,1124,3333,1
769,1126,2302,1
770,1127,3827,1
771,1127,4079,1
772,1128,1544,1
773,1128,1554,1
774,1128,1872,1
775,1128,2394,1
776,1129,2054,1
777,113,161,1
778,113,1858,1
779,113,2170,1
780,113,3522,1
781,113,488,1
782,1131,1336,1
783,1131,1370,1
784,1131,1710,1
785,1131,1799,1
786,1131,1849,1
787,1131,2243,1
788,1131,2611,1
789,1131,2843,1
790,1131,3000,1
791,1131,3237,1
792,1131,3329,1
793,1131,3387,1
794,1131,3454,1
795,1131,3537,1
796,1131,3855,1
797,1131,3926,1
798,1132,1272,1
799,1132,1356,1
800,1132,1644,1
801,1132,2302,1
802,1132,2569,1
803,1132,2590,1
804,1132,2600,1
805,1132,2953,1
806,1132,2974,1
807,1132,4017,1
808,1133,1470,1
809,1133,1599,1
810,1133,2149,1
811,1133,2392,1
812,1133,2899,1
813,1133,3162,1
814,1134,2979,1
815,1135,1225,1
816,1135,1276,1
817,1135,1312,1
818,1135,1656,1
819,1135,1741,1
820,1135,1861,1
821,1135,2052,1
822,1135,2467,1
823,1135,2681,1
824,1135,2861,1
825,1135,3079,1
826,1135,3138,1
827,1135,3854,1
828,1137,2307,1
829,1137,2791,1
830,1137,2930,1
831,1137,3776,1
832,1137,3911,1
833,1138,1616,1
834,1138,1682,1
835,1138,1899,1
836,1138,2773,1
837,1138,3244,1
838,1138,3967,1
839,1139,1173,1
840,1139,1174,1
841,1139,1178,1
842,1139,1208,1
843,1139,1239,1
844,1139,1242,1
845,1139,1264,1
846,1139,1310,1
847,1139,1343,1
848,1139,1345,1
849,1139,1451,1
850,1139,1505,1
851,1139,1684,1
852,1139,1708,1
853,1139,1767,1
854,1139,1801,1
855,1139,1812,1
856,1139,1889,1
857,1139,1972,1
858,1139,2220,1
859,1139,2229,1
860,1139,2287,1
861,1139,2397,1
862,1139,2398,1
863,1139,2457,1
864,1139,2481,1
865,1139,2518,1
866,1139,2575,1
867,1139,2593,1
868,1139,2765,1
869,1139,2773,1
870,1139,2844,1
871,1139,2868,1
872,1139,2900,1
873,1139,2914,1
874,1139,2973,1
875,1139,2997,1
876,1139,3034,1
877,1139,3076,1
878,1139,3102,1
879,1139,3148,1
880,1139,3245,1
881,1139,3441,1
882,1139,3523,1
883,1139,3610,1
884,1139,3612,1
885,1139,3619,1
886,1139,3661,1
887,1139,3677,1
888,1139,3712,1
889,1139,3748,1
890,1139,3777,1
891,1139,3789,1
892,1139,3935,1
893,1139,4038,1
894,114,1311,1
895,114,3785,1
896,1140,3224,1
897,1141,1143,1
898,1141,1883,1
899,1141,2186,1
900,1141,2524,1
901,1141,2562,1
902,1141,3266,1
903,1141,3386,1
904,1141,3928,1
905,1141,3947,1
906,1142,2025,1
907,1142,2419,1
908,1142,2747,1
909,1142,3179,1
910,1142,3444,1
911,1142,3531,1
912,1142,4081,1
913,1143,1265,1
914,1143,1991,1
915,1143,2562,1
916,1143,3226,1
917,1143,3258,1
918,1143,3926,1
919,1143,3928,1
920,1143,3947,1
921,1145,1240,1
922,1145,1363,1
923,1145,1398,1
924,1145,1708,1
925,1145,1913,1
926,1145,2296,1
927,1145,2364,1
928,1145,2450,1
929,1145,2593,1
930,1145,2873,1
931,1145,3645,1
932,1145,3978,1
933,1146,1389,1
934,1146,2457,1
935,1146,2585,1
936,1146,2603,1
937,1146,3813,1
938,1147,1279,1
939,1147,4022,1
940,1148,1502,1
941,1148,1552,1
942,1148,1916,1
943,1148,1949,1
944,1148,2184,1
945,1148,2457,1
946,1148,2495,1
947,1148,2529,1
948,1148,3113,1
949,1148,3142,1
950,1148,3253,1
951,1148,3319,1
952,1148,3333,1
953,1148,3556,1
954,1148,4055,1
955,115,2498,1
956,1150,2047,1
957,1150,3254,1
958,1151,1691,1
959,1151,1931,1
960,1152,2464,1
961,1152,2617,1
962,1152,3216,1
963,1153,1329,1
964,1153,2828,1
965,1153,3495,1
966,1153,3807,1
967,1154,3919,1
968,1156,2385,1
969,1156,2537,1
970,1157,2591,1
971,1161,1187,1
972,1161,1615,1
973,1161,3249,1
974,1162,1271,1
975,1162,1585,1
976,1162,1801,1
977,1162,2040,1
978,1162,2298,1
979,1162,3484,1
980,1162,4082,1
981,1163,1240,1
982,1163,1318,1
983,1163,1345,1
984,1163,1398,1
985,1163,2049,1
986,1163,2425,1
987,1163,2442,1
988,1163,2910,1
989,1163,3661,1
990,1165,3991,1
991,1166,1724,1
992,1166,2976,1
993,1166,3588,1
994,1167,1869,1
995,1167,2839,1
996,1168,3122,1
997,1168,4070,1
998,1169,1205,1
999,1169,2716,1
1000,1169,2785,1
1001,1169,3411,1
1002,1169,3554,1
1003,1169,3570,1
1004,1169,3626,1
1005,1169,3845,1
1006,1169,3953,1
1007,1169,3961,1
1008,1169,4068,1
1009,117,1699,1
1010,117,2075,1
1011,117,640,1
1012,1172,1293,1
1013,1172,1321,1
1014,1172,1565,1
1015,1172,1682,1
1016,1172,1965,1
1017,1172,2343,1
1018,1172,2478,1
1019,1172,2767,1
1020,1172,3153,1
1021,1172,3214,1
1022,1172,3813,1
1023,1173,1174,1
1024,1173,1178,1
1025,1173,1190,1
1026,1173,1208,1
1027,1173,1239,1
1028,1173,1240,1
1029,1173,1310,1
1030,1173,1343,1
1031,1173,1363,1
1032,1173,1389,1
1033,1173,1391,1
1034,1173,1451,1
1035,1173,1477,1
1036,1173,1516,1
1037,1173,1563,1
1038,1173,1576,1
1039,1173,1697,1
1040,1173,1703,1
1041,1173,1708,1
1042,1173,1735,1
1043,1173,1812,1
1044,1173,1912,1
1045,1173,1972,1
1046,1173,2015,1
1047,1173,2038,1
1048,1173,2105,1
1049,1173,2119,1
1050,1173,2151,1
1051,1173,2220,1
1052,1173,2223,1
1053,1173,2229,1
1054,1173,2275,1
1055,1173,2397,1
1056,1173,2398,1
1057,1173,2408,1
1058,1173,2457,1
1059,1173,2481,1
1060,1173,2518,1
1061,1173,2575,1
1062,1173,2588,1
1063,1173,2593,1
1064,1173,2709,1
1065,1173,2773,1
1066,1173,2868,1
1067,1173,2914,1
1068,1173,2997,1
1069,1173,3004,1
1070,1173,3034,1
1071,1173,3043,1
1072,1173,3102,1
1073,1173,3148,1
1074,1173,3196,1
1075,1173,3221,1
1076,1173,3245,1
1077,1173,3308,1
1078,1173,3322,1
1079,1173,3326,1
1080,1173,3365,1
1081,1173,3446,1
1082,1173,3533,1
1083,1173,3564,1
1084,1173,3619,1
1085,1173,3638,1
1086,1173,3677,1
1087,1173,3712,1
1088,1173,3789,1
1089,1173,3883,1
1090,1173,3906,1
1091,1173,3932,1
1092,1173,3935,1
1093,1174,1190,1
1094,1174,1264,1
1095,1174,1343,1
1096,1174,1429,1
1097,1174,1454,1
1098,1174,1477,1
1099,1174,1516,1
1100,1174,1703,1
1101,1174,1801,1
1102,1174,1857,1
1103,1174,2013,1
1104,1174,2151,1
1105,1174,2370,1
1106,1174,2595,1
1107,1174,2695,1
1108,1174,3162,1
1109,1174,3221,1
1110,1174,3308,1
1111,1174,3441,1
1112,1174,3610,1
1113,1174,3619,1
1114,1174,3883,1
1115,1174,3941,1
1116,1177,1505,1
1117,1177,1866,1
1118,1178,1195,1
1119,1178,1208,1
1120,1178,1239,1
1121,1178,1310,1
1122,1178,1343,1
1123,1178,1407,1
1124,1178,1451,1
1125,1178,1708,1
1126,1178,1731,1
1127,1178,1812,1
1128,1178,1972,1
1129,1178,2220,1
1130,1178,2229,1
1131,1178,2397,1
1132,1178,2398,1
1133,1178,2457,1
1134,1178,2481,1
1135,1178,2487,1
1136,1178,2518,1
1137,1178,2575,1
1138,1178,2593,1
1139,1178,2681,1
1140,1178,2773,1
1141,1178,2817,1
1142,1178,2868,1
1143,1178,2914,1
1144,1178,2980,1
1145,1178,2992,1
1146,1178,2997,1
1147,1178,3031,1
1148,1178,3034,1
1149,1178,3102,1
1150,1178,3148,1
1151,1178,3214,1
1152,1178,3242,1
1153,1178,3244,1
1154,1178,3245,1
1155,1178,3619,1
1156,1178,3677,1
1157,1178,3712,1
1158,1178,3789,1
1159,1178,3888,1
1160,1178,3891,1
1161,1178,3935,1
1162,1178,4001,1
1163,1179,3564,1
1164,118,1187,1
1165,118,1531,1
1166,118,2171,1
1167,118,2533,1
1168,118,2682,1
1169,118,2780,1
1170,118,3005,1
1171,118,3257,1
1172,118,326,1
1173,118,3421,1
1174,118,346,1
1175,118,3635,1
1176,118,523,1
1177,1180,1563,1
1178,1180,1583,1
1179,1180,1618,1
1180,1180,1622,1
1181,1180,1673,1
1182,1180,1754,1
1183,1180,2588,1
1184,1180,2670,1
1185,1180,2747,1
1186,1180,2914,1
1187,1180,3059,1
1188,1180,3720,1
1189,1180,3792,1
1190,1180,3932,1
1191,1180,3975,1
1192,1181,3162,1
1193,1182,1325,1
1194,1182,1969,1
1195,1182,3409,1
1196,1183,1190,1
1197,1183,1228,1
1198,1183,1240,1
1199,1183,1398,1
1200,1183,1502,1
1201,1183,1504,1
1202,1183,1658,1
1203,1183,1708,1
1204,1183,1712,1
1205,1183,1715,1
1206,1183,1735,1
1207,1183,1833,1
1208,1183,1989,1
1209,1183,2022,1
1210,1183,2086,1
1211,1183,2148,1
1212,1183,2180,1
1213,1183,2215,1
1214,1183,2239,1
1215,1183,2294,1
1216,1183,2324,1
1217,1183,2446,1
1218,1183,2664,1
1219,1183,2666,1
1220,1183,2681,1
1221,1183,2706,1
1222,1183,2743,1
1223,1183,2785,1
1224,1183,2801,1
1225,1183,2808,1
1226,1183,2810,1
1227,1183,2817,1
1228,1183,2839,1
1229,1183,2868,1
1230,1183,2938,1
1231,1183,2974,1
1232,1183,2990,1
1233,1183,2997,1
1234,1183,3034,1
1235,1183,3064,1
1236,1183,3130,1
1237,1183,3148,1
1238,1183,3214,1
1239,1183,3556,1
1240,1183,3619,1
1241,1183,3624,1
1242,1183,3706,1
1243,1183,3734,1
1244,1183,3785,1
1245,1183,3838,1
1246,1183,3955,1
1247,1183,3961,1
1248,1183,4046,1
1249,1184,1461,1
1250,1184,2479,1
1251,1187,1402,1
1252,1187,1587,1
1253,1187,1773,1
1254,1187,1846,1
1255,1187,1889,1
1256,1187,2190,1
1257,1187,2284,1
1258,1187,2436,1
1259,1187,2549,1
1260,1187,2636,1
1261,1187,2682,1
1262,1187,2745,1
1263,1187,2750,1
1264,1187,2815,1
1265,1187,3117,1
1266,1187,3161,1
1267,1187,3171,1
1268,1187,3196,1
1269,1187,3316,1
1270,1187,3668,1
1271,1187,3741,1
1272,1187,3793,1
1273,1187,3892,1
1274,1187,3944,1
1275,1187,4000,1
1276,1187,4038,1
1277,1188,1232,1
1278,1188,1429,1
1279,1188,2695,1
1280,1189,2616,1
1281,1189,3028,1
1282,1189,3587,1
1283,1189,3776,1
1284,119,1037,1
1285,119,1139,1
1286,119,1250,1
1287,119,1345,1
1288,119,1399,1
1289,119,1505,1
1290,119,1684,1
1291,119,1767,1
1292,119,2015,1
1293,119,2165,1
1294,119,2287,1
1295,119,2310,1
1296,119,2595,1
1297,119,2695,1
1298,119,2765,1
1299,119,2873,1
1300,119,2900,1
1301,119,3116,1
1302,119,3244,1
1303,119,329,1
1304,119,3389,1
1305,119,3441,1
1306,119,3610,1
1307,119,3612,1
1308,119,3661,1
1309,119,3785,1
1310,119,3923,1
1311,119,3978,1
1312,119,4071,1
1313,119,682,1
1314,119,719,1
1315,119,908,1
1316,1190,1228,1
1317,1190,1240,1
1318,1190,1245,1
1319,1190,1310,1
1320,1190,1317,1
1321,1190,1343,1
1322,1190,1389,1
1323,1190,1470,1
1324,1190,1477,1
1325,1190,1505,1
1326,1190,1516,1
1327,1190,1576,1
1328,1190,1658,1
1329,1190,1703,1
1330,1190,1712,1
1331,1190,1715,1
1332,1190,1735,1
1333,1190,1989,1
1334,1190,2086,1
1335,1190,2148,1
1336,1190,2151,1
1337,1190,2180,1
1338,1190,2207,1
1339,1190,2237,1
1340,1190,2324,1
1341,1190,2446,1
1342,1190,2481,1
1343,1190,2512,1
1344,1190,2691,1
1345,1190,2801,1
1346,1190,2808,1
1347,1190,2810,1
1348,1190,2817,1
1349,1190,2861,1
1350,1190,2868,1
1351,1190,2938,1
1352,1190,2974,1
1353,1190,2990,1
1354,1190,2997,1
1355,1190,3034,1
1356,1190,3130,1
1357,1190,3148,1
1358,1190,3162,1
1359,1190,3214,1
1360,1190,3221,1
1361,1190,3308,1
1362,1190,3556,1
1363,1190,3619,1
1364,1190,3695,1
1365,1190,3706,1
1366,1190,3717,1
1367,1190,3734,1
1368,1190,3785,1
1369,1190,3883,1
1370,1191,2230,1
1371,1191,2619,1
1372,1191,3172,1
1373,1191,3296,1
1374,1193,1248,1
1375,1193,1280,1
1376,1193,1319,1
1377,1193,1333,1
