,Author_A,Author_B,count,aa,ra,jc,pa,dc_A,dc_B,sh_path,label
46,1005,1183,1,6.936840853,0.697788032,0.333333333,2016,0.00811124,0.020857474,1,1
47,1005,1502,1,6.89958282,0.686676921,0.581395349,1120,0.00811124,0.011587486,1,1
48,1005,1708,1,6.951074738,0.701150605,0.255102041,2660,0.00811124,0.027520278,1,1
49,1005,1833,1,6.863740174,0.673215383,0.862068966,728,0.00811124,0.007531866,1,1
50,1005,2012,1,1.476513446,0.290081214,0.114285714,308,0.00811124,0.003186559,1,1
51,1005,2022,1,6.870566222,0.675962636,0.806451613,784,0.00811124,0.00811124,1,1
52,1005,2215,1,6.893729957,0.684649894,0.625,1036,0.00811124,0.010718424,1,1
53,1005,2239,1,6.867254775,0.674639884,0.833333333,756,0.00811124,0.007821553,1,1
54,1005,2294,1,6.879461175,0.679418857,0.735294118,868,0.00811124,0.008980301,1,1
55,1005,2666,1,6.906410481,0.688949649,0.531914894,1232,0.00811124,0.012746234,1,1
56,1005,2681,1,6.933673379,0.696971039,0.352112676,1904,0.00811124,0.019698725,1,1
57,1005,2706,10,7.927768763,0.974014584,0.75,980,0.00811124,0.01013905,1,1
58,1005,2743,1,6.89958282,0.686676921,0.581395349,1120,0.00811124,0.011587486,1,1
59,1005,2749,2,1.272210903,0.180990305,0.137931034,140,0.00811124,0.001448436,1,1
60,1005,2785,1,6.879461175,0.679418857,0.735294118,868,0.00811124,0.008980301,1,1
61,1005,2839,1,6.89770943,0.686035896,0.595238095,1092,0.00811124,0.011297798,1,1
62,1005,3064,8,7.912060972,0.968103254,0.9,812,0.00811124,0.008400927,1,1
63,1005,3148,1,6.954450364,0.701873,0.238095238,2856,0.00811124,0.029548088,1,1
64,1005,3624,1,6.863740174,0.673215383,0.862068966,728,0.00811124,0.007531866,1,1
65,1005,3955,1,6.925421789,0.694727769,0.403225806,1652,0.00811124,0.017091541,1,1
66,1005,3961,1,6.912350084,0.690843588,0.490196078,1344,0.00811124,0.013904983,1,1
67,1005,4046,1,6.863740174,0.673215383,0.862068966,728,0.00811124,0.007531866,1,1
68,1006,1325,3,1.67979866,0.388377724,0.166666667,171,0.002607184,0.005504056,1,1
69,1006,1726,1,0.685599528,0.108187135,0.117647059,90,0.002607184,0.002896871,1,1
70,1006,2622,4,0.960958206,0.252631579,0.095238095,126,0.002607184,0.00405562,1,1
71,1006,3351,1,0.434294482,0.1,0.038461538,162,0.002607184,0.005214368,1,1
72,1006,3441,1,1.137164889,0.233615819,0.06,396,0.002607184,0.012746234,1,1
73,1006,3955,2,0.603880642,0.075358852,0.03030303,531,0.002607184,0.017091541,1,1
74,1006,4013,3,0.718546454,0.12406015,0.166666667,45,0.002607184,0.001448436,1,1
75,1007,1192,1,0.36067376,0.0625,0.333333333,4,0.000579374,0.000579374,1,1
76,1008,1348,1,0.558110627,0.166666667,0.055555556,48,0.000869061,0.004634994,1,1
77,1008,1430,1,0,0,0,3,0.000869061,0.000289687,1,1
78,1008,3844,1,0.36067376,0.0625,0.125,18,0.000869061,0.001738123,1,1
79,101,2015,1,0,0,0,156,0.001158749,0.011297798,1,1
80,101,2106,1,0.352956124,0.058823529,0.1,28,0.001158749,0.00202781,1,1
81,101,686,3,0,0,0,160,0.001158749,0.011587486,1,1
82,101,757,1,0.513898342,0.142857143,0.05,68,0.001158749,0.004924681,1,1
83,1010,3482,4,4.345067171,1.390909091,0.315789474,126,0.00202781,0.005214368,1,1
84,1010,3493,2,2.20998106,0.655555556,0.5,35,0.00202781,0.001448436,1,1
85,1010,3567,1,0.345976256,0.055555556,0.058823529,77,0.00202781,0.003186559,1,1
86,1010,3729,1,0.345976256,0.055555556,0.125,14,0.00202781,0.000579374,1,1
87,1010,4089,1,2.20998106,0.655555556,0.5,35,0.00202781,0.001448436,1,1
88,1012,1670,2,1.820478453,0.666666667,0.5,9,0.000869061,0.000869061,1,1
89,1012,2523,1,1.820478453,0.666666667,0.5,9,0.000869061,0.000869061,1,1
90,1012,3606,1,1.820478453,0.666666667,0.5,9,0.000869061,0.000869061,1,1
91,1013,1056,2,0.389871245,0.076923077,0.038461538,50,0.000579374,0.007242178,1,1
92,1013,3436,1,0.310667467,0.04,0.071428571,26,0.000579374,0.003765933,1,1
93,1014,1274,1,1.344533709,0.433333333,0.181818182,36,0.002607184,0.001158749,1,1
94,1014,1318,9,3.074281788,1.083333333,0.1875,90,0.002607184,0.002896871,1,1
95,1014,2090,2,0.580409175,0.075438596,0.2,27,0.002607184,0.000869061,1,1
96,1014,2585,1,0.580409175,0.075438596,0.105263158,108,0.002607184,0.003476246,1,1
97,1014,3639,1,1.155642002,0.35,0.2,27,0.002607184,0.000869061,1,1
98,1014,3940,2,0.434294482,0.1,0.1,18,0.002607184,0.000579374,1,1
99,1014,4009,2,0.580409175,0.075438596,0.2,27,0.002607184,0.000869061,1,1
100,1015,1640,1,1.820478453,0.666666667,0.5,9,0.000869061,0.000869061,1,1
101,1015,2644,1,1.820478453,0.666666667,0.5,9,0.000869061,0.000869061,1,1
102,1017,1542,1,1.442695041,0.5,0.333333333,4,0.000579374,0.000579374,1,1
103,1017,3859,1,1.442695041,0.5,0.333333333,4,0.000579374,0.000579374,1,1
104,1018,1208,1,0.99999482,0.167914439,0.037037037,740,0.002896871,0.021436848,1,1
105,1018,1450,1,1.185962383,0.277958834,0.111111111,200,0.002896871,0.005793743,1,1
106,1018,2475,1,0.251870649,0.018867925,0.066666667,60,0.002896871,0.001738123,1,1
107,1018,2518,1,1.539364863,0.332381438,0.034482759,1100,0.002896871,0.031865585,1,1
108,1018,2588,6,3.334608688,0.884581105,0.125,530,0.002896871,0.015353418,1,1
109,1018,3044,1,0.251870649,0.018867925,0.076923077,40,0.002896871,0.001158749,1,1
110,1018,3138,1,0.918503624,0.132381438,0.125,170,0.002896871,0.004924681,1,1
111,1018,3587,2,0,0,0,110,0.002896871,0.003186559,1,1
112,1019,3306,1,1.820478453,0.666666667,0.5,9,0.000869061,0.000869061,1,1
113,102,1802,3,0,0,0,54,0.000579374,0.007821553,1,1
114,102,2260,1,0,0,0,2,0.000579374,0.000289687,1,1
115,1020,1676,3,1.660343908,0.491666667,0.230769231,48,0.001158749,0.003476246,1,1
116,1020,2084,1,0.883327951,0.208333333,0.285714286,20,0.001158749,0.001448436,1,1
117,1020,2154,9,1.023764539,0.283333333,0.2,32,0.001158749,0.002317497,1,1
118,1020,3111,7,0.402429604,0.083333333,0.111111111,24,0.001158749,0.001738123,1,1
119,1021,1163,1,0.87358738,0.101863822,0.1,252,0.00608343,0.003476246,1,1
120,1021,1398,3,1.52236894,0.304244775,0.06779661,882,0.00608343,0.01216686,1,1
121,1021,1715,2,0.496109985,0.035534591,0.031746032,924,0.00608343,0.012746234,1,1
122,1021,2148,1,3.940151782,0.505670812,0.213114754,1113,0.00608343,0.015353418,1,1
123,1021,2287,1,3.61310708,0.460144797,0.363636364,504,0.00608343,0.006952491,1,1
124,1021,2409,1,3.608836072,0.458333203,0.375,483,0.00608343,0.006662804,1,1
125,1021,2474,2,0.82456581,0.182857143,0.066666667,231,0.00608343,0.003186559,1,1
126,1021,2773,1,3.700838873,0.489616342,0.131868132,1722,0.00608343,0.023754345,1,1
127,1021,2915,2,1.214509226,0.263177998,0.069767442,525,0.00608343,0.007242178,1,1
128,1021,2960,1,3.954854036,0.512399699,0.30952381,714,0.00608343,0.009849363,1,1
129,1021,2980,1,3.558495687,0.435144797,0.5,315,0.00608343,0.004345307,1,1
130,1021,3196,2,3.947783094,0.50787207,0.191176471,1260,0.00608343,0.017381228,1,1
131,1021,3389,1,3.957205731,0.515180448,0.433333333,462,0.00608343,0.006373117,1,1
132,1021,3661,4,1.760474656,0.314685315,0.151515152,357,0.00608343,0.004924681,1,1
133,1021,3728,1,3.558495687,0.435144797,0.5,315,0.00608343,0.004345307,1,1
134,1021,4031,1,0.62050251,0.082633053,0.076923077,147,0.00608343,0.00202781,1,1
135,1023,1201,3,1.442695041,0.5,0.125,14,0.00202781,0.000579374,1,1
136,1023,2438,3,0.602344645,0.080365297,0.153846154,56,0.00202781,0.002317497,1,1
137,1023,2599,2,1.442695041,0.5,0.125,14,0.00202781,0.000579374,1,1
138,1023,2861,4,1.203123844,0.250490196,0.038961039,511,0.00202781,0.021147161,1,1
139,1023,3576,1,1.066929743,0.19752216,0.157894737,105,0.00202781,0.004345307,1,1
140,1023,3810,1,0.602344645,0.080365297,0.090909091,119,0.00202781,0.004924681,1,1
141,1023,4037,4,0,0,0,7,0.00202781,0.000289687,1,1
142,1024,1775,1,0,0,0,1,0.000289687,0.000289687,1,1
143,1025,2066,1,0,0,0,42,0.000869061,0.00405562,1,1
144,1025,3021,1,0,0,0,9,0.000869061,0.000869061,1,1
145,1026,2566,3,1.820478453,0.666666667,0.285714286,18,0.000869061,0.001738123,1,1
146,1026,3423,2,1.468349853,0.5,0.5,9,0.000869061,0.000869061,1,1
147,1027,3992,3,0,0,0,1,0.000289687,0.000289687,1,1
148,1028,1264,7,3.047515638,0.938034188,0.238095238,153,0.002607184,0.004924681,1,1
149,1028,1884,1,1.021882682,0.163524384,0.25,54,0.002607184,0.001738123,1,1
150,1028,2185,1,0.612943093,0.076811594,0.2,27,0.002607184,0.000869061,1,1
151,1028,2747,1,1.20425333,0.366666667,0.066666667,207,0.002607184,0.006662804,1,1
152,1028,3252,1,0.632011437,0.086601307,0.2,27,0.002607184,0.000869061,1,1
153,1028,3680,1,0.632011437,0.086601307,0.2,27,0.002607184,0.000869061,1,1
154,1029,1152,1,2.008262958,0.425,0.294117647,96,0.004634994,0.001738123,1,1
155,1029,2464,1,2.132079103,0.491666667,0.238095238,160,0.004634994,0.002896871,1,1
156,1029,2472,1,3.953612849,0.925468975,0.290322581,384,0.004634994,0.006952491,1,1
157,1029,2617,2,2.59870163,0.603703704,0.12,640,0.004634994,0.011587486,1,1
158,1029,3022,1,3.378856734,0.756024531,0.470588235,144,0.004634994,0.002607184,1,1
159,1029,3216,2,3.660389386,0.792592593,0.529411765,160,0.004634994,0.002896871,1,1
160,1029,3383,1,2.918783519,0.642135642,0.411764706,128,0.004634994,0.002317497,1,1
161,1029,3831,1,2.982649474,0.676226551,0.35,176,0.004634994,0.003186559,1,1
162,103,2595,1,0,0,0,24,0.000289687,0.006952491,1,1
163,1030,1034,1,4.134158214,0.422063543,0.211267606,1224,0.019698725,0.005214368,1,1
164,1030,1074,1,9.595453413,0.632404975,0.36036036,5644,0.019698725,0.024044032,1,1
165,1030,1076,1,9.101479277,0.596961671,0.481012658,3332,0.019698725,0.01419467,1,1
166,1030,1173,1,6.963081189,0.610310402,0.197080292,6528,0.019698725,0.027809965,1,1
167,1030,1174,1,4.431129274,0.462021951,0.188235294,2244,0.019698725,0.009559676,1,1
168,1030,1183,1,9.12460145,0.603480946,0.37254902,4896,0.019698725,0.020857474,1,1
169,1030,1190,2,13.40383052,1.075032566,0.563829787,5372,0.019698725,0.022885284,1,1
170,1030,1200,4,0.480898347,0.125,0.014285714,204,0.019698725,0.000869061,1,1
171,1030,1228,1,9.354973747,0.616450717,0.419354839,4352,0.019698725,0.018539977,1,1
172,1030,1240,1,10.11606121,0.675208555,0.365217391,6052,0.019698725,0.025782155,1,1
173,1030,1343,1,5.759016917,0.531795178,0.20754717,4080,0.019698725,0.017381228,1,1
174,1030,1344,1,0.36067376,0.0625,0.01369863,408,0.019698725,0.001738123,1,1
175,1030,1477,1,4.699727582,0.488145414,0.17,3332,0.019698725,0.01419467,1,1
176,1030,1516,1,5.605936373,0.535508761,0.235955056,2856,0.019698725,0.01216686,1,1
177,1030,1658,1,9.733636178,0.682259478,0.512820513,3400,0.019698725,0.014484357,1,1
178,1030,1703,1,5.871278191,0.558680327,0.217821782,3740,0.019698725,0.015932793,1,1
179,1030,1712,1,9.106557799,0.59850191,0.457831325,3604,0.019698725,0.015353418,1,1
180,1030,1715,4,9.72828166,0.688232306,0.555555556,2992,0.019698725,0.012746234,1,1
181,1030,1735,1,10.10016287,0.671292995,0.456521739,4488,0.019698725,0.019119351,1,1
182,1030,1989,1,9.360633016,0.618007793,0.453488372,3876,0.019698725,0.016512167,1,1
183,1030,2086,1,9.08914594,0.592979591,0.535211268,2788,0.019698725,0.011877173,1,1
184,1030,2148,1,9.350797136,0.615168577,0.475609756,3604,0.019698725,0.015353418,1,1
185,1030,2151,1,5.115111698,0.499681311,0.234567901,2176,0.019698725,0.009269988,1,1
186,1030,2154,3,1.36535884,0.444444444,0.027027027,544,0.019698725,0.002317497,1,1
187,1030,2180,1,9.094171078,0.594642562,0.513513514,2992,0.019698725,0.012746234,1,1
188,1030,2324,1,9.087343418,0.592369835,0.542857143,2720,0.019698725,0.011587486,1,1
189,1030,2446,1,9.106557799,0.59850191,0.457831325,3604,0.019698725,0.015353418,1,1
190,1030,2767,1,1.736873482,0.302377345,0.06097561,1292,0.019698725,0.005504056,1,1
191,1030,2783,1,0.799703383,0.071652004,0.038461538,884,0.019698725,0.003765933,1,1
192,1030,2808,1,9.10280623,0.597369835,0.475,3400,0.019698725,0.014484357,1,1
193,1030,2810,1,9.358428448,0.617369835,0.5,3332,0.019698725,0.01419467,1,1
194,1030,2817,1,9.10409367,0.597761992,0.469135802,3468,0.019698725,0.014774044,1,1
195,1030,2868,1,9.967117391,0.697337783,0.312977099,7072,0.019698725,0.030127462,1,1
196,1030,2938,1,9.10280623,0.597369835,0.475,3400,0.019698725,0.014484357,1,1
197,1030,2990,1,9.412768674,0.633746141,0.351351351,5576,0.019698725,0.023754345,1,1
198,1030,2997,1,9.891206793,0.665286501,0.333333333,6528,0.019698725,0.027809965,1,1
199,1030,3034,1,10.73792071,0.760343881,0.338461538,7208,0.019698725,0.030706837,1,1
200,1030,3130,1,9.106557799,0.59850191,0.457831325,3604,0.019698725,0.015353418,1,1
201,1030,3148,1,9.605539631,0.634649246,0.307692308,6936,0.019698725,0.029548088,1,1
202,1030,3162,1,1.902286234,0.278662016,0.046153846,4624,0.019698725,0.019698725,1,1
203,1030,3183,1,0.455119613,0.111111111,0.014492754,136,0.019698725,0.000579374,1,1
204,1030,3196,2,3.0119104,0.246711491,0.103448276,4080,0.019698725,0.017381228,1,1
205,1030,3197,2,2.06646462,0.353881473,0.076923077,1088,0.019698725,0.004634994,1,1
206,1030,3214,1,9.118872332,0.601985219,0.4,4420,0.019698725,0.018829664,1,1
207,1030,3221,1,4.156619017,0.432164553,0.2,1496,0.019698725,0.006373117,1,1
208,1030,3308,1,5.082846756,0.560141254,0.222222222,2108,0.019698725,0.008980301,1,1
209,1030,3556,1,9.126812292,0.604036501,0.361904762,5100,0.019698725,0.021726535,1,1
210,1030,3619,2,13.18169479,1.063639117,0.422764228,7276,0.019698725,0.030996524,1,1
211,1030,3626,2,0.211139801,0.00877193,0.011363636,1428,0.019698725,0.00608343,1,1
212,1030,3657,9,3.040922811,0.83104067,0.069444444,612,0.019698725,0.002607184,1,1
213,1030,3706,1,9.421116788,0.639164706,0.438202247,4080,0.019698725,0.017381228,1,1
214,1030,3734,1,9.395784507,0.627251682,0.314516129,6460,0.019698725,0.027520278,1,1
215,1030,3783,1,0,0,0,68,0.019698725,0.000289687,1,1
216,1030,3785,1,9.123050993,0.60308412,0.38,4760,0.019698725,0.0202781,1,1
217,1030,3804,1,1.229134645,0.177548936,0.050632911,1020,0.019698725,0.004345307,1,1
218,1030,3883,1,4.127178346,0.418795569,0.214285714,1156,0.019698725,0.004924681,1,1
219,1031,1048,1,0.31465798,0.041666667,0.25,6,0.000869061,0.000579374,1,1
220,1031,3564,1,0.31465798,0.041666667,0.018518519,156,0.000869061,0.015063731,1,1
221,1031,3927,3,1.69577991,0.519230769,0.08,72,0.000869061,0.006952491,1,1
222,1032,3037,1,1.024760596,0.287037037,0.5,9,0.000869061,0.000869061,1,1
223,1032,3273,1,1.213652302,0.37037037,0.4,12,0.000869061,0.001158749,1,1
224,1033,1059,1,0,0,0,2,0.000579374,0.000289687,1,1
225,1033,2193,1,0,0,0,4,0.000579374,0.000579374,1,1
226,1034,1173,1,4.152063353,0.426352759,0.151515152,1728,0.005214368,0.027809965,1,1
227,1034,1174,1,4.085153018,0.406466395,0.416666667,594,0.005214368,0.009559676,1,1
228,1034,1190,1,4.142290817,0.424111198,0.182926829,1422,0.005214368,0.022885284,1,1
229,1034,1343,1,4.126913349,0.420102759,0.238095238,1080,0.005214368,0.017381228,1,1
230,1034,1477,1,4.114203514,0.416361262,0.288461538,882,0.005214368,0.01419467,1,1
231,1034,1516,1,4.103606299,0.412959902,0.333333333,756,0.005214368,0.01216686,1,1
232,1034,1703,1,4.121610171,0.418587607,0.25862069,990,0.005214368,0.015932793,1,1
233,1034,2151,1,4.082613677,0.405519425,0.428571429,576,0.005214368,0.009269988,1,1
234,1034,2624,1,0,0,0,36,0.005214368,0.000579374,1,1
235,1034,3221,1,4.047637232,0.39131488,0.6,396,0.005214368,0.006373117,1,1
236,1034,3308,1,4.079946009,0.404511361,0.441176471,558,0.005214368,0.008980301,1,1
237,1034,3619,1,4.157149555,0.427423631,0.136363636,1926,0.005214368,0.030996524,1,1
238,1034,3883,1,4.018196562,0.377945896,0.75,306,0.005214368,0.004924681,1,1
239,1035,1073,1,0.910239227,0.333333333,0.028571429,68,0.000579374,0.009849363,1,1
240,1036,1240,2,0.781444729,0.166666667,0.021978022,356,0.001158749,0.025782155,1,1
241,1036,1398,2,0.736683152,0.154093098,0.045454545,168,0.001158749,0.01216686,1,1
242,1036,2264,2,0,0,0,4,0.001158749,0.000289687,1,1
243,1036,3672,2,0.490331196,0.035045479,0.222222222,28,0.001158749,0.00202781,1,1
244,1037,1250,1,4.528118813,0.562178624,0.46875,546,0.00608343,0.007531866,1,1
245,1037,2015,2,5.327857061,0.736724204,0.395348837,819,0.00608343,0.011297798,1,1
246,1037,2165,1,4.47437273,0.538140162,0.681818182,336,0.00608343,0.004634994,1,1
247,1037,2310,1,4.495423218,0.548008583,0.6,399,0.00608343,0.005504056,1,1
248,1037,2579,3,0.524829069,0.04450895,0.076923077,147,0.00608343,0.00202781,1,1
249,1037,2588,3,1.026412879,0.183882784,0.042253521,1113,0.00608343,0.015353418,1,1
250,1037,2595,1,4.520388509,0.558973495,0.5,504,0.00608343,0.006952491,1,1
251,1037,2695,1,5.65889774,0.78443563,0.391304348,903,0.00608343,0.012456547,1,1
252,1037,2873,1,4.57078912,0.577912889,0.3,924,0.00608343,0.012746234,1,1
253,1037,3244,1,4.560138912,0.574324373,0.340909091,798,0.00608343,0.011008111,1,1
254,1037,3785,1,4.599669034,0.586354448,0.197368421,1470,0.00608343,0.0202781,1,1
255,1037,3800,1,0.874698074,0.105307096,0.115384615,168,0.00608343,0.002317497,1,1
256,1037,3923,1,4.506587751,0.553021114,0.555555556,441,0.00608343,0.00608343,1,1
257,1037,3978,1,4.793336192,0.587453349,0.4,735,0.00608343,0.01013905,1,1
258,1037,4071,1,4.501238289,0.550640162,0.576923077,420,0.00608343,0.005793743,1,1
259,1038,1076,5,1.442695041,0.5,0.02,98,0.000579374,0.01419467,1,1
260,1038,1970,1,0.256949171,0.020408163,0.333333333,4,0.000579374,0.000579374,1,1
261,104,1429,1,1.391137574,0.458333333,0.064516129,252,0.003476246,0.00608343,1,1
262,104,1624,1,1.895297649,0.259801669,0.260869565,204,0.003476246,0.004924681,1,1
263,104,1934,3,3.88838568,0.922791865,0.4,192,0.003476246,0.004634994,1,1
264,104,2353,1,0.36067376,0.0625,0.076923077,24,0.003476246,0.000579374,1,1
265,104,2462,1,1.895297649,0.259801669,0.260869565,204,0.003476246,0.004924681,1,1
266,104,2617,1,1.977168742,0.293625199,0.130434783,480,0.003476246,0.011587486,1,1
267,104,2806,1,0.809357086,0.172619048,0.153846154,36,0.003476246,0.000869061,1,1
268,104,2843,1,1.980707386,0.294815675,0.125,504,0.003476246,0.01216686,1,1
269,104,3635,1,1.908630501,0.26599362,0.24,228,0.003476246,0.005504056,1,1
270,104,3854,1,1.238697965,0.380952381,0.111111111,96,0.003476246,0.002317497,1,1
271,104,591,1,0.36067376,0.0625,0.058823529,72,0.003476246,0.001738123,1,1
272,104,972,1,1.944840697,0.281588162,0.181818182,324,0.003476246,0.007821553,1,1
273,1040,1278,1,1.116221253,0.333333333,0.4,12,0.000869061,0.001158749,1,1
274,1041,2843,2,0.778635066,0.156565657,0.046511628,126,0.000869061,0.01216686,1,1
275,1041,3247,1,0.59106184,0.069264069,0.2,27,0.000869061,0.002607184,1,1
276,1042,1073,1,4.229491742,0.63351516,0.30952381,714,0.00608343,0.009849363,1,1
277,1042,1169,1,4.167093977,0.60737137,0.5,378,0.00608343,0.005214368,1,1
278,1042,1830,1,0.328458739,0.047619048,0.045454545,42,0.00608343,0.000579374,1,1
279,1042,2468,7,0.949793673,0.247619048,0.068965517,210,0.00608343,0.002896871,1,1
280,1042,2716,1,4.134147052,0.591498354,0.590909091,294,0.00608343,0.00405562,1,1
281,1042,3227,1,0.621334935,0.2,0.045454545,42,0.00608343,0.000579374,1,1
282,1042,3554,1,4.134147052,0.591498354,0.590909091,294,0.00608343,0.00405562,1,1
283,1042,3570,1,4.229491742,0.63351516,0.30952381,714,0.00608343,0.009849363,1,1
284,1042,3626,1,4.184611495,0.615307878,0.448275862,441,0.00608343,0.00608343,1,1
285,1042,3671,1,0,0,0,63,0.00608343,0.000869061,1,1
286,1042,3845,1,4.16011411,0.604103396,0.52,357,0.00608343,0.004924681,1,1
287,1042,3953,1,4.134147052,0.591498354,0.590909091,294,0.00608343,0.00405562,1,1
288,1042,3961,1,4.254752467,0.642093592,0.232142857,1008,0.00608343,0.013904983,1,1
289,1042,4028,1,0,0,0,21,0.00608343,0.000289687,1,1
290,1042,4068,1,4.152396473,0.600426925,0.541666667,336,0.00608343,0.004634994,1,1
291,1044,3509,4,0.417032391,0.090909091,0.2,8,0.000579374,0.001158749,1,1
292,1045,3585,1,0,0,0,4,0.000289687,0.001158749,1,1
293,1047,3496,1,0,0,0,3,0.000289687,0.000869061,1,1
294,1048,3927,2,0.910239227,0.333333333,0.04,48,0.000579374,0.006952491,1,1
295,1049,1708,4,0.910239227,0.333333333,0.010416667,190,0.000579374,0.027520278,1,1
296,1049,3081,4,0.219593112,0.010526316,0.25,6,0.000579374,0.000869061,1,1
297,105,1250,2,0.80109587,0.166666667,0.074074074,78,0.000869061,0.007531866,1,1
298,105,3754,1,0.652903933,0.094017094,0.2,27,0.000869061,0.002607184,1,1
299,105,4080,1,0.76204729,0.14957265,0.105263158,54,0.000869061,0.005214368,1,1
300,1050,2294,1,0.271085031,0.025,0.03125,62,0.000579374,0.008980301,1,1
301,1050,2743,1,0.291206676,0.032258065,0.024390244,80,0.000579374,0.011587486,1,1
302,1051,1131,1,2.620544213,0.49404572,0.122807018,999,0.010718424,0.007821553,1,1
303,1051,1190,1,3.901175234,0.414056269,0.137254902,2923,0.010718424,0.022885284,1,1
304,1051,1228,1,3.88958793,0.411089497,0.16091954,2368,0.010718424,0.018539977,1,1
305,1051,1310,1,4.670800712,0.474105519,0.158878505,3219,0.010718424,0.025202781,1,1
306,1051,1389,1,3.642798728,0.393381164,0.175675676,1850,0.010718424,0.014484357,1,1
307,1051,1470,1,4.638409483,0.555437901,0.235294118,1739,0.010718424,0.013615295,1,1
308,1051,1547,1,0,0,0,148,0.010718424,0.001158749,1,1
309,1051,1576,1,3.638690645,0.392104568,0.183098592,1739,0.010718424,0.013615295,1,1
310,1051,1628,3,2.609531983,0.534535291,0.175,370,0.010718424,0.002896871,1,1
311,1051,1710,5,4.071357742,0.806102006,0.186440678,1221,0.010718424,0.009559676,1,1
312,1051,1799,1,2.298334349,0.448148148,0.12,703,0.010718424,0.005504056,1,1
